"","Short_label","Observed","Shannon","InvSimpson","Longer_name","Sample_type","Num_larvae","Date_collected","Exp_day","Mesocosm_id","Mesocosm_treatment","Microbe_treatment","Food_type","Mesocosm_type","Treatment_notes","Notes","Raw_reads","lib_size_clean","is.neg","even"
"1","LB1",3,0.699779023870736,2.0002848164211,"L_D8_B_larvae","Larvae",5,"6/30/23",8,"B_larvae","B_larvae","None_larvae","Bamboo","Additional control","Larvae & food only","",57253,49680,FALSE,0.636966317497782
"2","LB10",22,1.63213811879948,3.71588298013159,"L_D8_B_EMO.3","Larvae",5,"6/30/23",8,"B_EMO.3","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",76367,65364,FALSE,0.528021903104636
"3","LB11",30,1.87194660476549,3.42790061412016,"L_D8_B_EMO.4","Larvae",5,"6/30/23",8,"B_EMO.4","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",22627,19508,FALSE,0.550378703352604
"4","LB12",19,1.46065216281152,2.94487652988382,"L_D8_B_EMO.5","Larvae",5,"6/30/23",8,"B_EMO.5","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",15378,13599,FALSE,0.496071466634714
"5","LB15",4,0.0468399369008285,1.01360939529703,"L_D8_B_ECO.3","Larvae",5,"6/30/23",8,"B_ECO.3","B_ECO","ECO","Bamboo","Experiment","E. coli only","",12836,11414,FALSE,0.0337878723411886
"6","LB16",2,0.465719036794143,1.40928845238874,"L_D8_B_ECO.4","Larvae",5,"6/30/23",8,"B_ECO.4","B_ECO","ECO","Bamboo","Experiment","E. coli only","",13301,10999,FALSE,0.671890544830495
"7","LB18",33,2.19268724803131,4.80020085272205,"L_D8_B_MEM.1","Larvae",5,"6/30/23",8,"B_MEM.1","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",64329,53088,FALSE,0.627107823874308
"8","LB19",38,2.02868030813638,3.99518030865145,"L_D8_B_MEM.2","Larvae",5,"6/30/23",8,"B_MEM.2","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",46890,40665,FALSE,0.557699589523667
"9","LB2",3,0.0315545109953072,1.00897454753716,"L_D8_B_AHK.1","Larvae",5,"6/30/23",8,"B_AHK.1","B_AHK","AHK","Bamboo","Experiment","All heat-killed microbes","",33655,29355,FALSE,0.0287221536849565
"10","LB20",33,2.16650096408353,5.57514987773585,"L_D8_B_MEM.3","Larvae",5,"6/30/23",8,"B_MEM.3","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",46052,40143,FALSE,0.619618555372113
"11","LB21",38,2.28743638470712,5.07608630548315,"L_D8_B_MEM.4","Larvae",5,"6/30/23",8,"B_MEM.4","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",54131,45760,FALSE,0.628833595759882
"12","LB22",33,1.91662101165913,3.49863129504077,"L_D8_B_MEM.5","Larvae",5,"6/30/23",8,"B_MEM.5","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",69479,59069,FALSE,0.548152972063151
"13","LB23",23,1.37552752449599,2.52216055834505,"L_D8_B_ALL.1","Larvae",5,"6/30/23",8,"B_ALL.1","B_ALL","ALL","Bamboo","Experiment","All live microbes","",73665,62750,FALSE,0.438695602596854
"14","LB24",33,2.44417974778075,7.4382335725017,"L_D8_B_ALL.2","Larvae",5,"6/30/23",8,"B_ALL.2","B_ALL","ALL","Bamboo","Experiment","All live microbes","",36399,29621,FALSE,0.699034595182064
"15","LB25",31,2.25217689473059,6.0520997875433,"L_D8_B_ALL.3","Larvae",5,"6/30/23",8,"B_ALL.3","B_ALL","ALL","Bamboo","Experiment","All live microbes","",66744,54752,FALSE,0.655848947773891
"16","LB26",32,2.36279439882937,7.10928755511406,"L_D8_B_ALL.4","Larvae",5,"6/30/23",8,"B_ALL.4","B_ALL","ALL","Bamboo","Experiment","All live microbes","",60546,50669,FALSE,0.681758352366271
"17","LB27",64,2.76210030613427,6.83890962466855,"L_D8_B_ALL.5","Larvae",5,"6/30/23",8,"B_ALL.5","B_ALL","ALL","Bamboo","Experiment","All live microbes","",66531,54106,FALSE,0.664144735682967
