"","component","grpvar","term","grp","condval","condsd"
"cond.1","cond","variable","(Intercept)","ASV0001",1.112925305686e-07,0.000403367151359086
"cond.2","cond","variable","(Intercept)","ASV0002",9.62445688993121e-08,0.000396556138660725
"cond.3","cond","variable","(Intercept)","ASV0003",1.83897179498104e-07,0.000447319552840648
"cond.4","cond","variable","(Intercept)","ASV0004",-5.4568686045271e-09,0.0003756977577072
"cond.5","cond","variable","(Intercept)","ASV0005",9.03910155966616e-10,0.000375630512567296
"cond.6","cond","variable","(Intercept)","ASV0006",1.22126120324017e-07,0.000408799024932231
"cond.7","cond","variable","(Intercept)","ASV0007",7.7332922986795e-08,0.000389268553133402
"cond.8","cond","variable","(Intercept)","ASV0009",6.81203519310516e-08,0.000386254184061278
"cond.9","cond","variable","(Intercept)","ASV0010",5.99293517588246e-08,0.00038387823722692
"cond.10","cond","variable","(Intercept)","ASV0011",1.14757943590116e-08,0.000375934309056792
"cond.11","cond","variable","(Intercept)","ASV0012",6.72763229199292e-09,0.000375733705202216
"cond.12","cond","variable","(Intercept)","ASV0013",2.19823456344291e-08,0.000376749081807891
"cond.13","cond","variable","(Intercept)","ASV0016",-3.17909403915236e-09,0.000375652084052707
"cond.14","cond","variable","(Intercept)","ASV0019",4.35025014129736e-08,0.000379997875143842
"cond.15","cond","variable","(Intercept)","ASV0024",5.76678553003977e-08,0.000383273456164115
"cond.16","cond","variable","(Intercept)","ASV0027",4.85664348776442e-08,0.000381066600855533
"cond.17","cond","variable","(Intercept)","ASV0030",1.47960095856766e-08,0.000376136650074027
"cond.18","cond","variable","(Intercept)","ASV0032",3.42436851766171e-10,0.000375628887998629
"cond.19","cond","variable","(Intercept)","ASV0033",6.70198001227813e-08,0.000385918162601869
"cond.20","cond","variable","(Intercept)","ASV0043",-3.6861108486229e-08,0.000378770730925568
"cond.21","cond","variable","(Intercept)","ASV0053",3.73524030605936e-08,0.000378854687305594
"cond.22","cond","variable","(Intercept)","ASV0054",2.60686338665494e-08,0.000377203413657887
"cond.23","cond","variable","(Intercept)","ASV0055",-3.58672453273973e-09,0.000375658488642172
"cond.24","cond","variable","(Intercept)","ASV0058",-1.00431071677309e-08,0.000375862768264584
"cond.25","cond","variable","(Intercept)","ASV0059",4.39695591302257e-08,0.000380091644539012
"cond.26","cond","variable","(Intercept)","ASV0060",-9.95799539295736e-09,0.000375858817563195
"cond.27","cond","variable","(Intercept)","ASV0061",4.18734057439487e-08,0.000379678471407471
"cond.28","cond","variable","(Intercept)","ASV0066",5.77132641257418e-09,0.00037570595519668
"cond.29","cond","variable","(Intercept)","ASV0070",-1.57966142097188e-08,0.000376207632839146
"cond.30","cond","variable","(Intercept)","ASV0079",7.69089879869777e-08,0.000389122001582775
"cond.31","cond","variable","(Intercept)","ASV0083",7.12457620470376e-08,0.000387236600702865
"cond.32","cond","variable","(Intercept)","ASV0085",-1.63377950281463e-08,0.000376247952249911
"cond.33","cond","variable","(Intercept)","ASV0087",-7.24288201310819e-09,0.000375750416617816
"cond.34","cond","variable","(Intercept)","ASV0099",4.26221268660536e-08,0.000379823786582161
"cond.35","cond","variable","(Intercept)","ASV0100",9.07103547589804e-09,0.000375819645023195
"cond.36","cond","variable","(Intercept)","ASV0102",1.17466635306849e-09,0.000375631819340846
"cond.37","cond","variable","(Intercept)","ASV0109",-3.95524843246615e-08,0.000379244050049345
"cond.38","cond","variable","(Intercept)","ASV0125",-1.21693628595036e-08,0.000375972359676709
"cond.39","cond","variable","(Intercept)","ASV0130",5.33109800789237e-08,0.000382171439956356
"cond.40","cond","variable","(Intercept)","ASV0134",5.14240438934807e-09,0.000375690018910977
"cond.41","cond","variable","(Intercept)","ASV0138",-2.70210515734408e-08,0.000377320324537171
"cond.42","cond","variable","(Intercept)","ASV0149",9.3279294313066e-09,0.000375830615928451
"cond.43","cond","variable","(Intercept)","ASV0150",-1.61020891503096e-08,0.000376230225185376
"cond.44","cond","variable","(Intercept)","ASV0152",-3.28649756504776e-08,0.000378128511168878
"cond.45","cond","variable","(Intercept)","ASV0164",9.59980024680984e-09,0.000375842558490617
"cond.46","cond","variable","(Intercept)","ASV0210",-1.93886358826563e-08,0.000376500559567903
"cond.47","cond","variable","(Intercept)","ASV0212",-3.99765524450361e-08,0.000379321613085273
"cond.48","cond","variable","(Intercept)","ASV0218",-2.73079807987798e-08,0.000377356360026241
"cond.49","cond","variable","(Intercept)","ASV0220",-3.67523109212482e-08,0.000378752286564246
"cond.50","cond","variable","(Intercept)","ASV0225",-3.90177430958599e-08,0.000379147401611033
"cond.51","cond","variable","(Intercept)","ASV0262",-4.09828202873773e-08,0.000379508906264367
"cond.52","cond","variable","(Intercept)","ASV0276",-4.29573228031815e-08,0.000379889660328119
"cond.53","cond","variable","(Intercept)","ASV0289",-3.55430800513787e-08,0.000378550897061956
"cond.54","cond","variable","(Intercept)","ASV0311",-3.08968425218265e-08,0.000377838911021931
"cond.55","cond","variable:Microbe_treatment","(Intercept)","ASV0001:ALL",0.292507649089674,0.870876057674242
"cond.56","cond","variable:Microbe_treatment","(Intercept)","ASV0001:ECO",7.71762551293476,0.911309317063845
"cond.57","cond","variable:Microbe_treatment","(Intercept)","ASV0001:EMO",-1.63469733795187,0.901527705394498
"cond.58","cond","variable:Microbe_treatment","(Intercept)","ASV0001:MEM",-2.79661881282527,0.969297183525549
"cond.59","cond","variable:Microbe_treatment","(Intercept)","ASV0001:MMO",-0.96223568812276,1.03131989708989
"cond.60","cond","variable:Microbe_treatment","(Intercept)","ASV0002:ALL",-1.54201372202039,0.923579993918578
"cond.61","cond","variable:Microbe_treatment","(Intercept)","ASV0002:ECO",4.53157762035667,0.927528133982202
"cond.62","cond","variable:Microbe_treatment","(Intercept)","ASV0002:EMO",-0.886313156718132,0.872913814386717
"cond.63","cond","variable:Microbe_treatment","(Intercept)","ASV0002:MEM",-1.43076776525322,0.867910222198327
"cond.64","cond","variable:Microbe_treatment","(Intercept)","ASV0002:MMO",1.59030806762956,0.86533627516704
"cond.65","cond","variable:Microbe_treatment","(Intercept)","ASV0003:ALL",1.41215068440606,0.823688661558737
"cond.66","cond","variable:Microbe_treatment","(Intercept)","ASV0003:ECO",-0.961852264024435,1.37426244903461
"cond.67","cond","variable:Microbe_treatment","(Intercept)","ASV0003:EMO",-1.76108136777049,0.876739387878894
"cond.68","cond","variable:Microbe_treatment","(Intercept)","ASV0003:MEM",1.36400886822365,0.819110557914261
"cond.69","cond","variable:Microbe_treatment","(Intercept)","ASV0003:MMO",4.27035197600727,0.839229703966865
"cond.70","cond","variable:Microbe_treatment","(Intercept)","ASV0004:ALL",0.00471053086446278,1.01739312271091
"cond.71","cond","variable:Microbe_treatment","(Intercept)","ASV0004:ECO",-0.134052957657223,1.71456352417161
"cond.72","cond","variable:Microbe_treatment","(Intercept)","ASV0004:EMO",0.591540882356345,0.984199046774649
"cond.73","cond","variable:Microbe_treatment","(Intercept)","ASV0004:MEM",0.105960667200351,0.976315107857912
"cond.74","cond","variable:Microbe_treatment","(Intercept)","ASV0004:MMO",-0.69645470918291,1.44737484652103
"cond.75","cond","variable:Microbe_treatment","(Intercept)","ASV0005:ALL",0.424231072602463,0.936593234256578
"cond.76","cond","variable:Microbe_treatment","(Intercept)","ASV0005:ECO",-0.319911543818793,1.60272470682652
"cond.77","cond","variable:Microbe_treatment","(Intercept)","ASV0005:EMO",0.247307276850315,0.958063313767608
"cond.78","cond","variable:Microbe_treatment","(Intercept)","ASV0005:MEM",0.723417597383602,0.912170374838537
"cond.79","cond","variable:Microbe_treatment","(Intercept)","ASV0005:MMO",-1.05379271236233,1.34980748453319
"cond.80","cond","variable:Microbe_treatment","(Intercept)","ASV0006:ALL",1.40019605202183,0.800836737238032
"cond.81","cond","variable:Microbe_treatment","(Intercept)","ASV0006:ECO",-1.73153625127169,1.23604468528654
"cond.82","cond","variable:Microbe_treatment","(Intercept)","ASV0006:EMO",0.3385638571714,0.812731456098534
"cond.83","cond","variable:Microbe_treatment","(Intercept)","ASV0006:MEM",0.743521208786065,0.80074834840152
"cond.84","cond","variable:Microbe_treatment","(Intercept)","ASV0006:MMO",2.12054329497645,0.828572630793134
"cond.85","cond","variable:Microbe_treatment","(Intercept)","ASV0007:ALL",-0.0819334262259944,0.841540251014072
"cond.86","cond","variable:Microbe_treatment","(Intercept)","ASV0007:ECO",-1.11779932404621,1.3378447101689
"cond.87","cond","variable:Microbe_treatment","(Intercept)","ASV0007:EMO",-0.00175456070397778,0.846070074316666
"cond.88","cond","variable:Microbe_treatment","(Intercept)","ASV0007:MEM",0.247941139547451,0.826846841991559
"cond.89","cond","variable:Microbe_treatment","(Intercept)","ASV0007:MMO",2.77170845883533,0.839867445633107
"cond.90","cond","variable:Microbe_treatment","(Intercept)","ASV0009:ALL",0.569880309007659,0.847424624330369
"cond.91","cond","variable:Microbe_treatment","(Intercept)","ASV0009:ECO",-0.820110465839272,1.41060968268335
"cond.92","cond","variable:Microbe_treatment","(Intercept)","ASV0009:EMO",0.697683587984972,0.850790991285257
"cond.93","cond","variable:Microbe_treatment","(Intercept)","ASV0009:MEM",0.0544589117252925,0.844983795188491
"cond.94","cond","variable:Microbe_treatment","(Intercept)","ASV0009:MMO",1.09965462371657,0.905939853893
"cond.95","cond","variable:Microbe_treatment","(Intercept)","ASV0010:ALL",-0.035536601740499,0.905244508554207
"cond.96","cond","variable:Microbe_treatment","(Intercept)","ASV0010:ECO",1.5297330663088,1.25580898104268
"cond.97","cond","variable:Microbe_treatment","(Intercept)","ASV0010:EMO",0.474955135786906,0.891546422630331
"cond.98","cond","variable:Microbe_treatment","(Intercept)","ASV0010:MEM",0.668343988460998,0.859219721991274
"cond.99","cond","variable:Microbe_treatment","(Intercept)","ASV0010:MMO",-1.22850594936827,1.30568252698675
"cond.100","cond","variable:Microbe_treatment","(Intercept)","ASV0011:ALL",0.545903059634014,0.907391968301418
"cond.101","cond","variable:Microbe_treatment","(Intercept)","ASV0011:ECO",-0.43769087818449,1.54650001868678
