"","component","grpvar","term","grp","condval","condsd"
"cond.1","cond","variable","(Intercept)","ASV0001",9.79049270080363e-08,0.000977627073386502
"cond.2","cond","variable","(Intercept)","ASV0002",1.71035745406865e-07,0.000993086213675624
"cond.3","cond","variable","(Intercept)","ASV0003",4.58784467884646e-07,0.00112558684882889
"cond.4","cond","variable","(Intercept)","ASV0004",9.62240339346185e-08,0.000977368528977004
"cond.5","cond","variable","(Intercept)","ASV0005",1.23010927551337e-08,0.000970124384333766
"cond.6","cond","variable","(Intercept)","ASV0006",2.69975249019896e-07,0.00102655172932794
"cond.7","cond","variable","(Intercept)","ASV0007",2.24512438162793e-07,0.00100944819296002
"cond.8","cond","variable","(Intercept)","ASV0009",1.91276832532293e-07,0.000998789260432288
"cond.9","cond","variable","(Intercept)","ASV0010",1.26600417546247e-07,0.000982717564382885
"cond.10","cond","variable","(Intercept)","ASV0011",-2.84334652185596e-08,0.000970648874619449
"cond.11","cond","variable","(Intercept)","ASV0012",8.71717104720819e-08,0.000976052074388133
"cond.12","cond","variable","(Intercept)","ASV0013",-1.21811094012008e-07,0.000981779471625155
"cond.13","cond","variable","(Intercept)","ASV0016",3.92968149064439e-08,0.000971235790995893
"cond.14","cond","variable","(Intercept)","ASV0019",1.11368802518787e-07,0.000979856731561052
"cond.15","cond","variable","(Intercept)","ASV0024",1.31851674304075e-07,0.000983786619703528
"cond.16","cond","variable","(Intercept)","ASV0027",4.07838353024554e-08,0.000971330744729387
"cond.17","cond","variable","(Intercept)","ASV0032",-1.37734361672103e-07,0.000985034346617575
"cond.18","cond","variable","(Intercept)","ASV0033",1.94672850841881e-07,0.000999805106826781
"cond.19","cond","variable","(Intercept)","ASV0043",-1.21505498148159e-07,0.000981720815339913
"cond.20","cond","variable","(Intercept)","ASV0053",5.77362009329908e-08,0.000972661543174023
"cond.21","cond","variable","(Intercept)","ASV0054",1.76623997566417e-07,0.000994600245016974
"cond.22","cond","variable","(Intercept)","ASV0055",-1.12241053450234e-07,0.000980010887662017
"cond.23","cond","variable","(Intercept)","ASV0058",-1.03610127779836e-07,0.000978537457979106
"cond.24","cond","variable","(Intercept)","ASV0059",9.51700542140462e-08,0.000977208658794855
"cond.25","cond","variable","(Intercept)","ASV0060",-2.24002235616593e-08,0.00097040412990963
"cond.26","cond","variable","(Intercept)","ASV0061",1.39596500846776e-07,0.000985440312262376
"cond.27","cond","variable","(Intercept)","ASV0066",3.08292667011525e-08,0.000970762158619816
"cond.28","cond","variable","(Intercept)","ASV0070",-1.64602360695221e-07,0.00099140077126766
"cond.29","cond","variable","(Intercept)","ASV0079",1.39457777299795e-07,0.000985409886576923
"cond.30","cond","variable","(Intercept)","ASV0083",1.3423891671891e-07,0.000984286581239371
"cond.31","cond","variable","(Intercept)","ASV0085",-2.17806944706925e-08,0.000970382284635635
"cond.32","cond","variable","(Intercept)","ASV0087",-1.66451764020589e-07,0.000991878958666018
"cond.33","cond","variable","(Intercept)","ASV0099",1.75654880074515e-07,0.000994334358221818
"cond.34","cond","variable","(Intercept)","ASV0100",-2.99190990535807e-08,0.00097071804454698
"cond.35","cond","variable","(Intercept)","ASV0102",6.02825901467001e-08,0.000972900813419993
"cond.36","cond","variable","(Intercept)","ASV0109",-1.69375757758675e-07,0.000992645417327104
"cond.37","cond","variable","(Intercept)","ASV0125",-8.19172548189011e-08,0.000975346815569475
"cond.38","cond","variable","(Intercept)","ASV0130",1.66508420947916e-07,0.000991893686927279
"cond.39","cond","variable","(Intercept)","ASV0134",5.82401300656446e-08,0.000972708081030644
"cond.40","cond","variable","(Intercept)","ASV0138",-2.14002993698894e-07,0.00100590606029414
"cond.41","cond","variable","(Intercept)","ASV0149",-1.03729540042456e-07,0.000978557054236716
"cond.42","cond","variable","(Intercept)","ASV0150",-1.58976425363379e-07,0.000989977592137427
"cond.43","cond","variable","(Intercept)","ASV0152",-1.77109993160223e-07,0.000994734106940287
"cond.44","cond","variable","(Intercept)","ASV0164",-3.88835425750752e-08,0.000971210024364548
"cond.45","cond","variable","(Intercept)","ASV0210",7.22649522136703e-08,0.000974164344199543
"cond.46","cond","variable","(Intercept)","ASV0212",-1.89562432656028e-07,0.000998282841958604
"cond.47","cond","variable","(Intercept)","ASV0218",-1.66518634721796e-07,0.000991896345446789
"cond.48","cond","variable","(Intercept)","ASV0220",-1.49434953090604e-07,0.000987672714322152
"cond.49","cond","variable","(Intercept)","ASV0225",-2.02355165599558e-07,0.00100216508632638
"cond.50","cond","variable","(Intercept)","ASV0262",-2.2020660386883e-07,0.00100797792718416
"cond.51","cond","variable","(Intercept)","ASV0276",-1.73338219052952e-07,0.000993704410847001
"cond.52","cond","variable","(Intercept)","ASV0289",-2.35334598272503e-07,0.00101325925948903
"cond.53","cond","variable","(Intercept)","ASV0311",-2.25198643454412e-07,0.00100968493742565
"cond.54","cond","variable:Microbe_treatment","(Intercept)","ASV0001:ALL",2.3635514070572,2.07314659067697
"cond.55","cond","variable:Microbe_treatment","(Intercept)","ASV0001:EMO",0.154794071863867,2.22861061348548
"cond.56","cond","variable:Microbe_treatment","(Intercept)","ASV0001:MEM",-2.15802701871429,2.10616892586709
"cond.57","cond","variable:Microbe_treatment","(Intercept)","ASV0001:MMO",0.639793012125917,2.14019679775469
"cond.58","cond","variable:Microbe_treatment","(Intercept)","ASV0002:ALL",-0.294493979619909,2.01779873323702
"cond.59","cond","variable:Microbe_treatment","(Intercept)","ASV0002:EMO",-0.0815782792772232,1.84826633675398
"cond.60","cond","variable:Microbe_treatment","(Intercept)","ASV0002:MEM",-1.02189050927849,1.84389620360536
"cond.61","cond","variable:Microbe_treatment","(Intercept)","ASV0002:MMO",3.14511499419527,1.90390198707736
"cond.62","cond","variable:Microbe_treatment","(Intercept)","ASV0003:ALL",0.595080714549084,1.71350600038302
"cond.63","cond","variable:Microbe_treatment","(Intercept)","ASV0003:EMO",-2.02306457845865,1.70013969845694
"cond.64","cond","variable:Microbe_treatment","(Intercept)","ASV0003:MEM",1.01582635372081,1.68986840339652
"cond.65","cond","variable:Microbe_treatment","(Intercept)","ASV0003:MMO",5.09870009472924,1.7813103609582
"cond.66","cond","variable:Microbe_treatment","(Intercept)","ASV0004:ALL",1.15104936463913,2.10971998783873
"cond.67","cond","variable:Microbe_treatment","(Intercept)","ASV0004:EMO",1.29496195909378,2.07878616822276
"cond.68","cond","variable:Microbe_treatment","(Intercept)","ASV0004:MEM",0.154491806258431,2.17656394172951
"cond.69","cond","variable:Microbe_treatment","(Intercept)","ASV0004:MMO",-1.61756219746561,2.8815205729808
"cond.70","cond","variable:Microbe_treatment","(Intercept)","ASV0005:ALL",2.37719251207335,1.93907710265683
"cond.71","cond","variable:Microbe_treatment","(Intercept)","ASV0005:EMO",0.210646806586979,1.93001454803198
"cond.72","cond","variable:Microbe_treatment","(Intercept)","ASV0005:MEM",0.253698541710039,1.95915974501097
"cond.73","cond","variable:Microbe_treatment","(Intercept)","ASV0005:MMO",-2.71588060937596,2.42593612140988
"cond.74","cond","variable:Microbe_treatment","(Intercept)","ASV0006:ALL",1.41607341070381,1.69876830238374
"cond.75","cond","variable:Microbe_treatment","(Intercept)","ASV0006:EMO",-1.32962830643687,1.74598378133603
"cond.76","cond","variable:Microbe_treatment","(Intercept)","ASV0006:MEM",-1.36418249185168,1.70950584572161
"cond.77","cond","variable:Microbe_treatment","(Intercept)","ASV0006:MMO",4.03556941955708,1.75063228880077
"cond.78","cond","variable:Microbe_treatment","(Intercept)","ASV0007:ALL",-0.21291160846119,1.72989506244886
"cond.79","cond","variable:Microbe_treatment","(Intercept)","ASV0007:EMO",-1.35811497770193,1.77086806255794
"cond.80","cond","variable:Microbe_treatment","(Intercept)","ASV0007:MEM",0.0282659193587539,1.70607989406566
"cond.81","cond","variable:Microbe_treatment","(Intercept)","ASV0007:MMO",3.83618421503463,1.78612891071335
"cond.82","cond","variable:Microbe_treatment","(Intercept)","ASV0009:ALL",0.945114928841262,1.7603697551737
"cond.83","cond","variable:Microbe_treatment","(Intercept)","ASV0009:EMO",-0.944518809969534,1.79759777612165
"cond.84","cond","variable:Microbe_treatment","(Intercept)","ASV0009:MEM",0.850420245482841,1.72984932886989
"cond.85","cond","variable:Microbe_treatment","(Intercept)","ASV0009:MMO",1.10290118048263,1.88566131915422
"cond.86","cond","variable:Microbe_treatment","(Intercept)","ASV0010:ALL",1.42203633635993,1.90403081686578
"cond.87","cond","variable:Microbe_treatment","(Intercept)","ASV0010:EMO",2.17008084441596,1.8001586941885
"cond.88","cond","variable:Microbe_treatment","(Intercept)","ASV0010:MEM",0.770045860447551,1.79100549911562
"cond.89","cond","variable:Microbe_treatment","(Intercept)","ASV0010:MMO",-3.06892342745285,2.18149720181068
"cond.90","cond","variable:Microbe_treatment","(Intercept)","ASV0011:ALL",2.29573424406819,1.77119665245267
"cond.91","cond","variable:Microbe_treatment","(Intercept)","ASV0011:EMO",0.685047433907535,1.81224374575378
