"","component","grpvar","term","grp","condval","condsd"
"cond.1","cond","variable","(Intercept)","ASV0002",1.10627997013656e-08,0.000431180212518165
"cond.2","cond","variable","(Intercept)","ASV0003",1.98627990784333e-07,0.000533388756948856
"cond.3","cond","variable","(Intercept)","ASV0005",-3.05046778295863e-08,0.000433522897838963
"cond.4","cond","variable","(Intercept)","ASV0006",1.31028933246385e-07,0.000478168118345998
"cond.5","cond","variable","(Intercept)","ASV0007",8.64478736221951e-08,0.000452042230466621
"cond.6","cond","variable","(Intercept)","ASV0009",7.55746688804614e-08,0.00044713113409795
"cond.7","cond","variable","(Intercept)","ASV0010",2.29889380895462e-08,0.000432359028508486
"cond.8","cond","variable","(Intercept)","ASV0011",-4.59637424458052e-08,0.000436927060972719
"cond.9","cond","variable","(Intercept)","ASV0012",-4.65152046573195e-09,0.000430887267633193
"cond.10","cond","variable","(Intercept)","ASV0013",4.87908701470522e-08,0.000437694801663888
"cond.11","cond","variable","(Intercept)","ASV0016",-1.82080953141013e-08,0.000431787719455677
"cond.12","cond","variable","(Intercept)","ASV0019",8.79483635996279e-08,0.000452767170686677
"cond.13","cond","variable","(Intercept)","ASV0024",3.944174814853e-08,0.000435326351362333
"cond.14","cond","variable","(Intercept)","ASV0027",6.27874314923745e-08,0.000442144051283535
"cond.15","cond","variable","(Intercept)","ASV0032",2.45220519662665e-08,0.000432570123789748
"cond.16","cond","variable","(Intercept)","ASV0033",8.45445638896929e-08,0.000451138996607659
"cond.17","cond","variable","(Intercept)","ASV0043",5.56852808849211e-08,0.000439752503020476
"cond.18","cond","variable","(Intercept)","ASV0053",3.36645271100127e-08,0.000434108693212163
"cond.19","cond","variable","(Intercept)","ASV0054",4.33858274076298e-08,0.000436265850134753
"cond.20","cond","variable","(Intercept)","ASV0055",2.44769283307764e-08,0.000432563717779228
"cond.21","cond","variable","(Intercept)","ASV0058",2.76433134955366e-08,0.000433041620331667
"cond.22","cond","variable","(Intercept)","ASV0059",1.44181250379859e-08,0.000431428654583577
"cond.23","cond","variable","(Intercept)","ASV0060",4.1715794525498e-08,0.000435857368250201
"cond.24","cond","variable","(Intercept)","ASV0061",3.62575168497676e-08,0.000434631828308987
"cond.25","cond","variable","(Intercept)","ASV0066",-4.1176257303299e-08,0.000435728745903716
"cond.26","cond","variable","(Intercept)","ASV0070",-1.01145823288655e-08,0.000431121841036207
"cond.27","cond","variable","(Intercept)","ASV0079",4.78166749458385e-08,0.000437425226406594
"cond.28","cond","variable","(Intercept)","ASV0083",4.40137667422134e-08,0.000436423486077773
"cond.29","cond","variable","(Intercept)","ASV0085",-1.46939444053119e-08,0.000431451981175384
"cond.30","cond","variable","(Intercept)","ASV0087",7.3822046980736e-11,0.000430824344536994
"cond.31","cond","variable","(Intercept)","ASV0099",4.95033020666776e-08,0.000437895275383517
"cond.32","cond","variable","(Intercept)","ASV0100",-8.02722515568074e-10,0.000430826202678921
"cond.33","cond","variable","(Intercept)","ASV0102",-2.81574613118496e-08,0.000433124645529785
"cond.34","cond","variable","(Intercept)","ASV0125",1.30486294949138e-08,0.000431319367524575
"cond.35","cond","variable","(Intercept)","ASV0130",6.22851516829223e-08,0.000441965940095232
"cond.36","cond","variable","(Intercept)","ASV0134",2.90488123102928e-08,0.000433272170798002
"cond.37","cond","variable","(Intercept)","ASV0138",-5.51941417486002e-08,0.000439597269706854
"cond.38","cond","variable","(Intercept)","ASV0149",-3.78603346904984e-08,0.000434974259545358
"cond.39","cond","variable","(Intercept)","ASV0150",-5.16115144615229e-08,0.000438504975099384
"cond.40","cond","variable","(Intercept)","ASV0164",-2.84185112486445e-08,0.000433167380189114
"cond.41","cond","variable","(Intercept)","ASV0218",-5.87989794175096e-08,0.000440767282742087
"cond.42","cond","variable","(Intercept)","ASV0262",-4.30826646817204e-08,0.000436190536535183
"cond.43","cond","variable","(Intercept)","ASV0289",-6.86413722073136e-08,0.000444319590911243
"cond.44","cond","variable","(Intercept)","ASV0311",-5.99871919758505e-08,0.000441168437521603
"cond.45","cond","variable:Microbe_treatment","(Intercept)","ASV0002:EMO",-0.506044330899902,1.14431457862536
"cond.46","cond","variable:Microbe_treatment","(Intercept)","ASV0002:MEM",-1.03829162950786,1.13687023982623
"cond.47","cond","variable:Microbe_treatment","(Intercept)","ASV0002:MMO",1.74929837340758,1.14364586583393
"cond.48","cond","variable:Microbe_treatment","(Intercept)","ASV0003:EMO",-1.48565895447023,1.14038690124558
"cond.49","cond","variable:Microbe_treatment","(Intercept)","ASV0003:MEM",1.48020818714119,1.10622092050789
"cond.50","cond","variable:Microbe_treatment","(Intercept)","ASV0003:MMO",3.68546607804986,1.17413461980274
"cond.51","cond","variable:Microbe_treatment","(Intercept)","ASV0005:EMO",-0.0347073546131046,1.23922060026344
"cond.52","cond","variable:Microbe_treatment","(Intercept)","ASV0005:MEM",0.597986508261903,1.1853009429551
"cond.53","cond","variable:Microbe_treatment","(Intercept)","ASV0005:MMO",-1.12844462211175,1.4637932439441
"cond.54","cond","variable:Microbe_treatment","(Intercept)","ASV0006:EMO",-0.0860506705213128,1.16274792927843
"cond.55","cond","variable:Microbe_treatment","(Intercept)","ASV0006:MEM",0.401810634643823,1.12797866319625
"cond.56","cond","variable:Microbe_treatment","(Intercept)","ASV0006:MMO",2.11183585754425,1.15672077205131
"cond.57","cond","variable:Microbe_treatment","(Intercept)","ASV0007:EMO",-0.529538516171829,1.16318313745943
"cond.58","cond","variable:Microbe_treatment","(Intercept)","ASV0007:MEM",0.158189828951239,1.11294713204758
"cond.59","cond","variable:Microbe_treatment","(Intercept)","ASV0007:MMO",1.9729834681632,1.15403385306948
"cond.60","cond","variable:Microbe_treatment","(Intercept)","ASV0009:EMO",0.231520283154135,1.15507868742145
"cond.61","cond","variable:Microbe_treatment","(Intercept)","ASV0009:MEM",0.3594557837363,1.12055242560009
"cond.62","cond","variable:Microbe_treatment","(Intercept)","ASV0009:MMO",0.809208959824795,1.19860588386474
"cond.63","cond","variable:Microbe_treatment","(Intercept)","ASV0010:EMO",0.611241067274346,1.15430507103842
"cond.64","cond","variable:Microbe_treatment","(Intercept)","ASV0010:MEM",0.935970139637835,1.13268741605941
"cond.65","cond","variable:Microbe_treatment","(Intercept)","ASV0010:MMO",-1.12129115499664,1.42442434660048
