"","component","grpvar","term","grp","condval","condsd"
"cond.1","cond","variable","(Intercept)","ASV0001",2.90374857024443,1.68294444438459
"cond.2","cond","variable","(Intercept)","ASV0002",2.56049796229586,1.61991946995099
"cond.3","cond","variable","(Intercept)","ASV0003",3.52341613122145,1.57051094140016
"cond.4","cond","variable","(Intercept)","ASV0004",0.736879008180356,1.64179200296464
"cond.5","cond","variable","(Intercept)","ASV0005",0.111213065141542,1.5778071582019
"cond.6","cond","variable","(Intercept)","ASV0006",2.01273546627939,1.49120158301906
"cond.7","cond","variable","(Intercept)","ASV0007",1.90299760359458,1.49183603644347
"cond.8","cond","variable","(Intercept)","ASV0009",1.53666251310139,1.51082860836273
"cond.9","cond","variable","(Intercept)","ASV0010",1.73483252858218,1.5308169807847
"cond.10","cond","variable","(Intercept)","ASV0011",-0.209732432586778,1.50678462115896
"cond.11","cond","variable","(Intercept)","ASV0012",0.926442337229629,1.68196481476169
"cond.12","cond","variable","(Intercept)","ASV0013",-0.242561980621066,1.50217963885613
"cond.13","cond","variable","(Intercept)","ASV0016",0.111455912711945,1.60488818084818
"cond.14","cond","variable","(Intercept)","ASV0019",-0.0212159929605134,1.50931169927023
"cond.15","cond","variable","(Intercept)","ASV0024",0.950194926340584,1.48353640370439
"cond.16","cond","variable","(Intercept)","ASV0027",-0.00556503367333218,1.47962588126928
"cond.17","cond","variable","(Intercept)","ASV0030",2.39892394387011,2.00278796818203
"cond.18","cond","variable","(Intercept)","ASV0032",-0.765311595501189,1.53288485816527
"cond.19","cond","variable","(Intercept)","ASV0033",1.53417294386516,1.51849942641478
"cond.20","cond","variable","(Intercept)","ASV0043",-0.700255865255942,1.5759611253062
"cond.21","cond","variable","(Intercept)","ASV0053",0.292237114931391,1.49482359672366
"cond.22","cond","variable","(Intercept)","ASV0054",0.708063806231639,1.61752800586886
"cond.23","cond","variable","(Intercept)","ASV0055",-0.639842447419893,1.53993739213646
"cond.24","cond","variable","(Intercept)","ASV0058",-0.601086942363902,1.53477892611207
"cond.25","cond","variable","(Intercept)","ASV0059",0.679155837331228,1.49033352754398
"cond.26","cond","variable","(Intercept)","ASV0060",0.0566769383019468,1.51583366295167
"cond.27","cond","variable","(Intercept)","ASV0061",1.07534530608268,1.51081118942898
"cond.28","cond","variable","(Intercept)","ASV0066",0.0776818098608912,1.53754118937307
"cond.29","cond","variable","(Intercept)","ASV0070",-0.9722400682304,1.56394563264758
"cond.30","cond","variable","(Intercept)","ASV0079",0.87489294922548,1.45755851138927
"cond.31","cond","variable","(Intercept)","ASV0083",0.838053711446021,1.46415410874099
"cond.32","cond","variable","(Intercept)","ASV0085",0.198469127775385,1.69962769591815
"cond.33","cond","variable","(Intercept)","ASV0087",-0.581990306988601,1.53955409147074
"cond.34","cond","variable","(Intercept)","ASV0099",1.35633732913111,1.55899399227013
"cond.35","cond","variable","(Intercept)","ASV0100",-0.623736507024935,1.51763305465792
"cond.36","cond","variable","(Intercept)","ASV0102",-0.0831805239156685,1.68955042137228
"cond.37","cond","variable","(Intercept)","ASV0109",-1.31056721003893,1.59911645928921
"cond.38","cond","variable","(Intercept)","ASV0125",-0.379274947844824,1.52781955837956
"cond.39","cond","variable","(Intercept)","ASV0130",1.10869880354966,1.50653223696072
"cond.40","cond","variable","(Intercept)","ASV0134",0.348046968126918,1.60777678074557
"cond.41","cond","variable","(Intercept)","ASV0138",-1.2096028631603,1.57824697129897
"cond.42","cond","variable","(Intercept)","ASV0149",-0.446147212881012,1.51294993677104
"cond.43","cond","variable","(Intercept)","ASV0150",-1.04249108459582,1.54704728657057
"cond.44","cond","variable","(Intercept)","ASV0152",-1.06493096162328,1.5816981615513
"cond.45","cond","variable","(Intercept)","ASV0164",-0.659352720811056,1.53950909593532
"cond.46","cond","variable","(Intercept)","ASV0210",0.588511551019174,1.70940741679724
"cond.47","cond","variable","(Intercept)","ASV0212",-1.28522806854561,1.60007299087291
"cond.48","cond","variable","(Intercept)","ASV0218",-0.590294209993565,1.707959220696
"cond.49","cond","variable","(Intercept)","ASV0220",-1.20299566571896,1.59425250459195
"cond.50","cond","variable","(Intercept)","ASV0225",-1.34234293802091,1.61318949697963
"cond.51","cond","variable","(Intercept)","ASV0262",-0.87733665001719,1.80012133639968
"cond.52","cond","variable","(Intercept)","ASV0276",-1.14590072488493,1.60255508242315
"cond.53","cond","variable","(Intercept)","ASV0289",-1.37499439992767,1.59261476543914
"cond.54","cond","variable","(Intercept)","ASV0311",-1.34388172776578,1.58663930596326
"cond.55","cond","variable","Biomass_day40","ASV0001",0.0378937776887862,0.0464608760342331
"cond.56","cond","variable","Biomass_day40","ASV0002",0.359095108727601,0.0610012899005806
"cond.57","cond","variable","Biomass_day40","ASV0003",0.11581202919289,0.0735229843310346
"cond.58","cond","variable","Biomass_day40","ASV0004",-0.00272439559037151,0.125777417621493
"cond.59","cond","variable","Biomass_day40","ASV0005",2.3826190731998e-05,0.120703132546368
"cond.60","cond","variable","Biomass_day40","ASV0006",0.0634877088903988,0.0706366920986696
"cond.61","cond","variable","Biomass_day40","ASV0007",-0.0136251145465445,0.0773519765764144
"cond.62","cond","variable","Biomass_day40","ASV0009",0.00751870419270062,0.0977779493895364
"cond.63","cond","variable","Biomass_day40","ASV0010",-0.07505231770775,0.118914233140088
"cond.64","cond","variable","Biomass_day40","ASV0011",0.0108703460106514,0.0959159337143276
"cond.65","cond","variable","Biomass_day40","ASV0012",0.0567650629269489,0.124885484871405
"cond.66","cond","variable","Biomass_day40","ASV0013",0.0364856010631334,0.0580387614166636
"cond.67","cond","variable","Biomass_day40","ASV0016",0.00954127885767563,0.121860547282916
"cond.68","cond","variable","Biomass_day40","ASV0019",0.0537134486290685,0.105262088686832
"cond.69","cond","variable","Biomass_day40","ASV0024",0.0531543952401696,0.0914180442802054
"cond.70","cond","variable","Biomass_day40","ASV0027",0.070839496186289,0.0760284721171733
"cond.71","cond","variable","Biomass_day40","ASV0030",-0.0606952004902872,0.092902072714198
"cond.72","cond","variable","Biomass_day40","ASV0032",0.00848557521458372,0.0694245315585623
"cond.73","cond","variable","Biomass_day40","ASV0033",0.00802753871389506,0.101378562950842
"cond.74","cond","variable","Biomass_day40","ASV0043",-0.010366675160109,0.126401163591931
"cond.75","cond","variable","Biomass_day40","ASV0053",0.0555398653238284,0.113422335380801
"cond.76","cond","variable","Biomass_day40","ASV0054",0.0206316001678878,0.116690901630271
"cond.77","cond","variable","Biomass_day40","ASV0055",-0.0603826053114193,0.110647625389573
"cond.78","cond","variable","Biomass_day40","ASV0058",-0.0133376414348743,0.107183411305047
"cond.79","cond","variable","Biomass_day40","ASV0059",0.0496986090751778,0.0978723181166666
"cond.80","cond","variable","Biomass_day40","ASV0060",-0.00306229742895457,0.11952308412958
"cond.81","cond","variable","Biomass_day40","ASV0061",-0.181216996433341,0.149990141307873
"cond.82","cond","variable","Biomass_day40","ASV0066",-0.0327828112860753,0.10910354977341
"cond.83","cond","variable","Biomass_day40","ASV0070",-0.0999236395439715,0.127653793244266
"cond.84","cond","variable","Biomass_day40","ASV0079",0.124831809217452,0.0715377718623874
"cond.85","cond","variable","Biomass_day40","ASV0083",0.12338306277143,0.0830835077287947
"cond.86","cond","variable","Biomass_day40","ASV0085",0.0125435114645629,0.120210565766561
"cond.87","cond","variable","Biomass_day40","ASV0087",-0.16088950112955,0.0923235586150269
"cond.88","cond","variable","Biomass_day40","ASV0099",0.0182124943033976,0.114412788978028
"cond.89","cond","variable","Biomass_day40","ASV0100",0.146048038182607,0.101235025502052
"cond.90","cond","variable","Biomass_day40","ASV0102",0.0911423727805281,0.124596279720554
"cond.91","cond","variable","Biomass_day40","ASV0109",-0.0443557707424186,0.126531488179034
"cond.92","cond","variable","Biomass_day40","ASV0125",-0.040633279686369,0.122552427438914
"cond.93","cond","variable","Biomass_day40","ASV0130",0.0464310849536797,0.117619873675073
"cond.94","cond","variable","Biomass_day40","ASV0134",-0.00851755371004634,0.121852325020036
"cond.95","cond","variable","Biomass_day40","ASV0138",-0.0714905890740042,0.114913095483889
"cond.96","cond","variable","Biomass_day40","ASV0149",-0.0314548714061847,0.0738752747247756
"cond.97","cond","variable","Biomass_day40","ASV0150",0.0771562890095285,0.0966538615992562
"cond.98","cond","variable","Biomass_day40","ASV0152",-0.0282103939773024,0.125100592629369
"cond.99","cond","variable","Biomass_day40","ASV0164",0.073287285554055,0.122532682630799
"cond.100","cond","variable","Biomass_day40","ASV0210",-0.00934588558541374,0.127289966975693
"cond.101","cond","variable","Biomass_day40","ASV0212",-0.0200721404564468,0.12703469550732
"cond.102","cond","variable","Biomass_day40","ASV0218",-0.00200716231165908,0.118433276922246
"cond.103","cond","variable","Biomass_day40","ASV0220",-0.0380644658772939,0.128301471844015
"cond.104","cond","variable","Biomass_day40","ASV0225",-0.0402443857341454,0.127119767424649
"cond.105","cond","variable","Biomass_day40","ASV0262",0.0730588772095422,0.118889281032127
"cond.106","cond","variable","Biomass_day40","ASV0276",-0.0440083822446673,0.128041935961967
"cond.107","cond","variable","Biomass_day40","ASV0289",-0.0280523259874109,0.116559980072818
"cond.108","cond","variable","Biomass_day40","ASV0311",-0.000415402474775769,0.113786017514661
"cond.109","cond","variable:food.microbes","(Intercept)","ASV0001:Bamboo_ALL",-4.31419450725847,4.1779939483756
"cond.110","cond","variable:food.microbes","(Intercept)","ASV0001:Bamboo_ECO",12.0526654724011,2.00808220967191
"cond.111","cond","variable:food.microbes","(Intercept)","ASV0001:Bamboo_EMO",-2.57213248534177,2.71362678336684
"cond.112","cond","variable:food.microbes","(Intercept)","ASV0001:Bamboo_MEM",-6.51254252643201,5.56171210166342
"cond.113","cond","variable:food.microbes","(Intercept)","ASV0001:Bamboo_MMO",-2.57487779065804,5.47740405500734
"cond.114","cond","variable:food.microbes","(Intercept)","ASV0001:Larval food_ALL",4.52631118639776,2.25607451354487
"cond.115","cond","variable:food.microbes","(Intercept)","ASV0001:Larval food_ECO",16.3538875699366,1.88524525975875
"cond.116","cond","variable:food.microbes","(Intercept)","ASV0001:Larval food_EMO",-0.800118499418439,2.24324044582075
"cond.117","cond","variable:food.microbes","(Intercept)","ASV0001:Larval food_MEM",-1.02398018696163,2.09060394948345
"cond.118","cond","variable:food.microbes","(Intercept)","ASV0001:Larval food_MMO",3.72899326152523,2.23424851554413
"cond.119","cond","variable:food.microbes","(Intercept)","ASV0002:Bamboo_ALL",-3.04310867887264,5.48478640850329
"cond.120","cond","variable:food.microbes","(Intercept)","ASV0002:Bamboo_ECO",9.74294680925062,2.01743967253483
"cond.121","cond","variable:food.microbes","(Intercept)","ASV0002:Bamboo_EMO",-2.14197497833736,3.18906155313384
"cond.122","cond","variable:food.microbes","(Intercept)","ASV0002:Bamboo_MEM",-3.77022852613335,5.05104677484751
"cond.123","cond","variable:food.microbes","(Intercept)","ASV0002:Bamboo_MMO",-0.26522558260017,3.76667989824012
"cond.124","cond","variable:food.microbes","(Intercept)","ASV0002:Larval food_ALL",2.10033546528228,2.4128004827219
"cond.125","cond","variable:food.microbes","(Intercept)","ASV0002:Larval food_ECO",10.4681900601699,1.84317431269617
"cond.126","cond","variable:food.microbes","(Intercept)","ASV0002:Larval food_EMO",-0.760588954045758,2.40532754225392
"cond.127","cond","variable:food.microbes","(Intercept)","ASV0002:Larval food_MEM",0.529667902638865,2.15036606820322
"cond.128","cond","variable:food.microbes","(Intercept)","ASV0002:Larval food_MMO",3.77409299123366,2.28335207597622
"cond.129","cond","variable:food.microbes","(Intercept)","ASV0003:Bamboo_ALL",-0.197709464149187,1.96597315792925
"cond.130","cond","variable:food.microbes","(Intercept)","ASV0003:Bamboo_ECO",-0.632160740101858,4.25463639179544
"cond.131","cond","variable:food.microbes","(Intercept)","ASV0003:Bamboo_EMO",-1.37625433709368,1.93254278524125
"cond.132","cond","variable:food.microbes","(Intercept)","ASV0003:Bamboo_MEM",1.05439346108454,1.9115989432946
"cond.133","cond","variable:food.microbes","(Intercept)","ASV0003:Bamboo_MMO",4.73565715567865,2.40627815326351
"cond.134","cond","variable:food.microbes","(Intercept)","ASV0003:Larval food_ALL",4.88910914739952,1.86290628407195
"cond.135","cond","variable:food.microbes","(Intercept)","ASV0003:Larval food_ECO",-0.890705540620622,3.98955636288477
"cond.136","cond","variable:food.microbes","(Intercept)","ASV0003:Larval food_EMO",0.525805300929858,1.86174739682936
"cond.137","cond","variable:food.microbes","(Intercept)","ASV0003:Larval food_MEM",4.77584083366118,1.78486077068771
"cond.138","cond","variable:food.microbes","(Intercept)","ASV0003:Larval food_MMO",10.0056652076692,1.99956321022099
"cond.139","cond","variable:food.microbes","(Intercept)","ASV0004:Bamboo_ALL",-0.101392499500732,3.28103186960114
"cond.140","cond","variable:food.microbes","(Intercept)","ASV0004:Bamboo_ECO",-0.0682338635557576,5.19039246431908
"cond.141","cond","variable:food.microbes","(Intercept)","ASV0004:Bamboo_EMO",0.804512716538111,2.81120886614978
"cond.142","cond","variable:food.microbes","(Intercept)","ASV0004:Bamboo_MEM",-2.92770584668931,5.53941219112854
"cond.143","cond","variable:food.microbes","(Intercept)","ASV0004:Bamboo_MMO",-1.14445821507577,5.39493545494209
"cond.144","cond","variable:food.microbes","(Intercept)","ASV0004:Larval food_ALL",3.29854386054986,2.45876508873368
"cond.145","cond","variable:food.microbes","(Intercept)","ASV0004:Larval food_ECO",-0.0555562562784526,5.22000701182228
"cond.146","cond","variable:food.microbes","(Intercept)","ASV0004:Larval food_EMO",3.08830222288896,2.40185290206806
"cond.147","cond","variable:food.microbes","(Intercept)","ASV0004:Larval food_MEM",2.76894416744998,2.22573395130368
"cond.148","cond","variable:food.microbes","(Intercept)","ASV0004:Larval food_MMO",-0.875870302855631,4.15079611147682
"cond.149","cond","variable:food.microbes","(Intercept)","ASV0005:Bamboo_ALL",-0.509148076071198,2.56493019318729
"cond.150","cond","variable:food.microbes","(Intercept)","ASV0005:Bamboo_ECO",-0.037828193389382,5.26389778064758
"cond.151","cond","variable:food.microbes","(Intercept)","ASV0005:Bamboo_EMO",-4.70747635505783,3.25349638523595
"cond.152","cond","variable:food.microbes","(Intercept)","ASV0005:Bamboo_MEM",-6.45240245847724,3.75368883220988
"cond.153","cond","variable:food.microbes","(Intercept)","ASV0005:Bamboo_MMO",-2.97117687185259,5.0140070278292
"cond.154","cond","variable:food.microbes","(Intercept)","ASV0005:Larval food_ALL",5.76612765746333,2.11437193710829
"cond.155","cond","variable:food.microbes","(Intercept)","ASV0005:Larval food_ECO",-0.0310054555739398,5.28104470958151
"cond.156","cond","variable:food.microbes","(Intercept)","ASV0005:Larval food_EMO",4.90384881662453,2.0931348132231
"cond.157","cond","variable:food.microbes","(Intercept)","ASV0005:Larval food_MEM",5.42194263670617,1.96142117288549
"cond.158","cond","variable:food.microbes","(Intercept)","ASV0005:Larval food_MMO",-0.660393341485593,4.27741357204765
"cond.159","cond","variable:food.microbes","(Intercept)","ASV0006:Bamboo_ALL",-2.65478646777053,1.85502798696383
"cond.160","cond","variable:food.microbes","(Intercept)","ASV0006:Bamboo_ECO",-0.212758152165602,4.87881345454741
"cond.161","cond","variable:food.microbes","(Intercept)","ASV0006:Bamboo_EMO",-7.04373516598366,2.48300909078253
"cond.162","cond","variable:food.microbes","(Intercept)","ASV0006:Bamboo_MEM",-9.52107045963809,2.32948005551132
"cond.163","cond","variable:food.microbes","(Intercept)","ASV0006:Bamboo_MMO",0.609137789014728,2.26940806910824
"cond.164","cond","variable:food.microbes","(Intercept)","ASV0006:Larval food_ALL",7.91697213570469,1.78297736854079
"cond.165","cond","variable:food.microbes","(Intercept)","ASV0006:Larval food_ECO",-0.254780068997005,4.80003655764897
"cond.166","cond","variable:food.microbes","(Intercept)","ASV0006:Larval food_EMO",5.91153167506095,1.75705222588376
"cond.167","cond","variable:food.microbes","(Intercept)","ASV0006:Larval food_MEM",7.30207504046314,1.71048220667447
"cond.168","cond","variable:food.microbes","(Intercept)","ASV0006:Larval food_MMO",11.0230171751555,1.8987569776014
"cond.169","cond","variable:food.microbes","(Intercept)","ASV0007:Bamboo_ALL",-3.7578534441801,2.01801367311733
"cond.170","cond","variable:food.microbes","(Intercept)","ASV0007:Bamboo_ECO",-0.194063428263031,4.91573587567551
"cond.171","cond","variable:food.microbes","(Intercept)","ASV0007:Bamboo_EMO",-6.71765662971713,2.59384252606196
"cond.172","cond","variable:food.microbes","(Intercept)","ASV0007:Bamboo_MEM",-4.07185933317546,1.9386847973606
"cond.173","cond","variable:food.microbes","(Intercept)","ASV0007:Bamboo_MMO",-0.750435041208644,2.46254473748511
"cond.174","cond","variable:food.microbes","(Intercept)","ASV0007:Larval food_ALL",5.03232945467309,1.84310850140166
"cond.175","cond","variable:food.microbes","(Intercept)","ASV0007:Larval food_ECO",-0.151077794117044,5.00308753301765
"cond.176","cond","variable:food.microbes","(Intercept)","ASV0007:Larval food_EMO",5.09690990442025,1.83480677967592
"cond.177","cond","variable:food.microbes","(Intercept)","ASV0007:Larval food_MEM",5.88372147103789,1.73968342527217
"cond.178","cond","variable:food.microbes","(Intercept)","ASV0007:Larval food_MMO",11.9926835381668,1.9295383883193
"cond.179","cond","variable:food.microbes","(Intercept)","ASV0009:Bamboo_ALL",-2.24386906169911,2.21072415624437
"cond.180","cond","variable:food.microbes","(Intercept)","ASV0009:Bamboo_ECO",-0.141695190949181,5.02367878115068
"cond.181","cond","variable:food.microbes","(Intercept)","ASV0009:Bamboo_EMO",-6.25399844002715,2.75823607198061
"cond.182","cond","variable:food.microbes","(Intercept)","ASV0009:Bamboo_MEM",-2.51367705139278,2.09423650771584
"cond.183","cond","variable:food.microbes","(Intercept)","ASV0009:Bamboo_MMO",-5.15197882052114,3.69047825900251
"cond.184","cond","variable:food.microbes","(Intercept)","ASV0009:Larval food_ALL",5.88832312136374,1.92732155661041
