"","component","grpvar","term","grp","condval","condsd"
"cond.1","cond","variable","(Intercept)","ASV0002",1.33880543928856e-06,0.00269168008315911
"cond.2","cond","variable","(Intercept)","ASV0003",5.56695730169931e-07,0.00154637307340501
"cond.3","cond","variable","(Intercept)","ASV0004",9.30796819495277e-07,0.00205261690770445
"cond.4","cond","variable","(Intercept)","ASV0005",1.00835930979759e-06,0.00216925909446256
"cond.5","cond","variable","(Intercept)","ASV0007",1.1937502883045e-06,0.00245812013529653
"cond.6","cond","variable","(Intercept)","ASV0008",8.25468711586484e-07,0.00189936122019127
"cond.7","cond","variable","(Intercept)","ASV0009",1.2027123920743e-06,0.00247238231840024
"cond.8","cond","variable","(Intercept)","ASV0010",7.83288154741354e-07,0.00183994456953288
"cond.9","cond","variable","(Intercept)","ASV0011",8.11279495063892e-07,0.0018792376252886
"cond.10","cond","variable","(Intercept)","ASV0012",1.1773680607631e-06,0.00243211295865887
"cond.11","cond","variable","(Intercept)","ASV0015",4.08047977110226e-07,0.00138626688922995
"cond.12","cond","variable","(Intercept)","ASV0016",7.0020092746387e-07,0.00172679744073039
"cond.13","cond","variable","(Intercept)","ASV0017",-1.20244530228577e-07,0.00119328201148945
"cond.14","cond","variable","(Intercept)","ASV0020",6.36142627832144e-07,0.0016436394692441
"cond.15","cond","variable","(Intercept)","ASV0021",-3.50584455227885e-07,0.00133379319864129
"cond.16","cond","variable","(Intercept)","ASV0022",4.99890732918165e-07,0.00148147160901632
"cond.17","cond","variable","(Intercept)","ASV0023",-1.82163601115329e-07,0.00121869996513458
"cond.18","cond","variable","(Intercept)","ASV0024",5.6666702101808e-07,0.00155818630440203
"cond.19","cond","variable","(Intercept)","ASV0025",-2.37029429702896e-07,0.00124921280992714
"cond.20","cond","variable","(Intercept)","ASV0027",-2.35493593730443e-09,0.00117328607131905
"cond.21","cond","variable","(Intercept)","ASV0036",6.23034808013913e-07,0.0016271173726703
"cond.22","cond","variable","(Intercept)","ASV0037",5.72736900587387e-07,0.00156543560219761
"cond.23","cond","variable","(Intercept)","ASV0039",5.47405392805284e-09,0.00117332014950897
"cond.24","cond","variable","(Intercept)","ASV0040",-4.107475535877e-07,0.00138887474949561
"cond.25","cond","variable","(Intercept)","ASV0042",5.45391874224208e-07,0.0015331278807386
"cond.26","cond","variable","(Intercept)","ASV0044",-7.20919684939828e-08,0.0011805077674234
"cond.27","cond","variable","(Intercept)","ASV0051",5.61890458823678e-07,0.00155251242998568
"cond.28","cond","variable","(Intercept)","ASV0054",8.80636968114976e-08,0.00118404968954964
"cond.29","cond","variable","(Intercept)","ASV0057",-1.60497294171802e-07,0.00120868596620108
"cond.30","cond","variable","(Intercept)","ASV0059",4.4945703471967e-08,0.0011760936167365
"cond.31","cond","variable","(Intercept)","ASV0063",1.21017879391295e-07,0.00119353794918935
"cond.32","cond","variable","(Intercept)","ASV0065",-2.48833159045555e-07,0.00125670592753202
"cond.33","cond","variable","(Intercept)","ASV0066",2.6771511885946e-08,0.00117427794756299
"cond.34","cond","variable","(Intercept)","ASV0069",-4.67833342939915e-07,0.00144678457023418
"cond.35","cond","variable","(Intercept)","ASV0072",-4.77388276684264e-07,0.00145696810147639
"cond.36","cond","variable","(Intercept)","ASV0073",1.44502499497884e-07,0.00120206040327553
"cond.37","cond","variable","(Intercept)","ASV0079",-4.14401021356391e-07,0.00139242357663883
"cond.38","cond","variable","(Intercept)","ASV0080",1.75846503812481e-07,0.00121565819993307
"cond.39","cond","variable","(Intercept)","ASV0082",1.29646781702407e-07,0.00119650101308715
"cond.40","cond","variable","(Intercept)","ASV0084",-8.86051398260875e-08,0.00118418194874797
"cond.41","cond","variable","(Intercept)","ASV0085",2.35887660661867e-07,0.00124850499180261
"cond.42","cond","variable","(Intercept)","ASV0089",-3.0080198161585e-07,0.00129338000521792
"cond.43","cond","variable","(Intercept)","ASV0091",-3.72292963511007e-07,0.00135291683607504
"cond.44","cond","variable","(Intercept)","ASV0093",-5.30435158531877e-07,0.00151584877524437
"cond.45","cond","variable","(Intercept)","ASV0094",-2.25875982228064e-07,0.00124242838932356
"cond.46","cond","variable","(Intercept)","ASV0095",-2.33515417718558e-07,0.00124704405792171
"cond.47","cond","variable","(Intercept)","ASV0101",7.76895926109299e-08,0.00118166987731636
"cond.48","cond","variable","(Intercept)","ASV0102",-3.50937104670918e-08,0.00117499548247858
"cond.49","cond","variable","(Intercept)","ASV0105",1.30721108577863e-07,0.00119688367216898
"cond.50","cond","variable","(Intercept)","ASV0111",-2.1602627089056e-07,0.00123667993827933
"cond.51","cond","variable","(Intercept)","ASV0112",-2.41038976790358e-07,0.0012517222815408
"cond.52","cond","variable","(Intercept)","ASV0115",-1.51834800823001e-07,0.0012050159150372
"cond.53","cond","variable","(Intercept)","ASV0116",1.13986321499539e-07,0.00119126928599813
"cond.54","cond","variable","(Intercept)","ASV0119",-3.55952957540991e-07,0.00133844059544106
"cond.55","cond","variable","(Intercept)","ASV0123",-4.31479921148535e-07,0.00140930619598454
"cond.56","cond","variable","(Intercept)","ASV0128",-2.81684252459559e-07,0.00127920745503355
"cond.57","cond","variable","(Intercept)","ASV0139",-2.14202912369093e-07,0.0012356410867331
"cond.58","cond","variable","(Intercept)","ASV0145",-6.27350538955118e-07,0.00163253765095798
"cond.59","cond","variable","(Intercept)","ASV0146",-9.61356659660545e-08,0.00118610364388661
"cond.60","cond","variable","(Intercept)","ASV0155",-4.6607534795489e-07,0.00144492563304897
"cond.61","cond","variable","(Intercept)","ASV0167",-4.45105831910022e-07,0.00142311318454678
"cond.62","cond","variable","(Intercept)","ASV0180",-7.14991141596817e-07,0.00174652807851803
"cond.63","cond","variable:Microbe_treatment","(Intercept)","ASV0002:EMO",0.617022385871903,1.21573332544242
"cond.64","cond","variable:Microbe_treatment","(Intercept)","ASV0002:MEM",0.0980471555045895,1.21465560197395
"cond.65","cond","variable:Microbe_treatment","(Intercept)","ASV0002:MMO",4.8279687884649,1.30142931266718
"cond.66","cond","variable:Microbe_treatment","(Intercept)","ASV0003:EMO",-5.20265569000675,1.41067090744068
"cond.67","cond","variable:Microbe_treatment","(Intercept)","ASV0003:MEM",0.694620566237734,1.20382176092009
"cond.68","cond","variable:Microbe_treatment","(Intercept)","ASV0003:MMO",6.81291504122046,1.27034803553799
"cond.69","cond","variable:Microbe_treatment","(Intercept)","ASV0004:EMO",2.31872508415568,1.27840920763522
