"","component","grpvar","term","grp","condval","condsd"
"cond.1","cond","variable","(Intercept)","K00001",2.14582448056784,0.693584565807245
"cond.2","cond","variable","(Intercept)","K00002",-1.12757003093541,0.71431518847049
"cond.3","cond","variable","(Intercept)","K00003",1.61411327278416,0.694356351946853
"cond.4","cond","variable","(Intercept)","K00004",0.0933748904166651,0.701970996555766
"cond.5","cond","variable","(Intercept)","K00005",0.0647458131774937,0.700581145919517
"cond.6","cond","variable","(Intercept)","K00007",0.223351024511589,0.699281272510039
"cond.7","cond","variable","(Intercept)","K00008",1.07984041845401,0.696261815605476
"cond.8","cond","variable","(Intercept)","K00009",0.722235227557275,0.6978904402248
"cond.9","cond","variable","(Intercept)","K00010",1.66076279148164,0.694839917744594
"cond.10","cond","variable","(Intercept)","K00011",-0.78938170581897,0.720135422653073
"cond.11","cond","variable","(Intercept)","K00012",1.69315485740792,0.694009514586317
"cond.12","cond","variable","(Intercept)","K00013",1.54817094341479,0.694222205976014
"cond.13","cond","variable","(Intercept)","K00014",1.77802537404662,0.694037390799193
"cond.14","cond","variable","(Intercept)","K00015",1.13641347314935,0.695275670015597
"cond.15","cond","variable","(Intercept)","K00016",0.296985480529643,0.70077324664781
"cond.16","cond","variable","(Intercept)","K00018",0.322429837020765,0.699223970222128
"cond.17","cond","variable","(Intercept)","K00019",1.49127508455507,0.694495885808713
"cond.18","cond","variable","(Intercept)","K00020",1.75561946321372,0.694330752019223
"cond.19","cond","variable","(Intercept)","K00021",-0.483329603902427,0.705954198051048
"cond.20","cond","variable","(Intercept)","K00022",-2.29613364595506,0.747811038513956
"cond.21","cond","variable","(Intercept)","K00023",0.918503631388494,0.695913219886061
"cond.22","cond","variable","(Intercept)","K00024",1.53606777991014,0.69442695071601
"cond.23","cond","variable","(Intercept)","K00027",0.52370538988732,0.698218860737183
"cond.24","cond","variable","(Intercept)","K00029",2.15407100517328,0.693331782274206
"cond.25","cond","variable","(Intercept)","K00030",-1.60291927604049,0.725607974292497
"cond.26","cond","variable","(Intercept)","K00031",1.71373764672466,0.693958456268372
"cond.27","cond","variable","(Intercept)","K00033",1.49893563429184,0.694487262270836
"cond.28","cond","variable","(Intercept)","K00034",1.39341469953583,0.69469875752584
"cond.29","cond","variable","(Intercept)","K00035",-0.719319212034015,0.70906993515695
"cond.30","cond","variable","(Intercept)","K00036",1.79454892581945,0.69389802323327
"cond.31","cond","variable","(Intercept)","K00038",0.587036853709636,0.700118588912813
"cond.32","cond","variable","(Intercept)","K00039",-0.716406146774187,0.714605575973887
