Sample	R1_reads	R2_reads	25208149.56	9132014.79
LB10_S34_L001	37428528	37428528		
LB11_S32_L001	33136380	33136380		
LB12_S29_L001	35039145	35039145		
LB18_S11_L001	31231051	31231051		
LB19_S7_L001	29140820	29140820		
LB20_S5_L001	32687522	32687522		
LB21_S1_L001	26750128	26750128		
LB22_S47_L001	42671740	42671740		
LB3_S21_L001	24192159	24192159		
LB4_S18_L001	29634833	29634833		
LB5_S15_L001	26722341	26722341		
LB7_S8_L001	24399880	24399880		
LB9_S2_L001	33521533	33521533		
LL11_S6_L001	28501454	28501454		
LL12_S3_L001	39927233	39927233		
LL18_S22_L001	37376924	37376924		
LL19_S19_L001	32731707	32731707		
LL21_S12_L001	24046686	24046686		
LL22_S9_L001	40161652	40161652		
LL3_S30_L001	33913463	33913463		
LL5_S25_L001	24244685	24244685		
LL6_S23_L001	33386856	33386856		
LL7_S20_L001	33278847	33278847		
LL8_S16_L001	33438094	33438094		
LL9_S13_L001	45985466	45985466		
WB11_S4_L001	18291666	18291666		
WB14_S31_L001	11680092	11680092		
WB15_S28_L001	14878217	14878217		
WB16_S26_L001	11314364	11314364		
WB17_S24_L001	12278359	12278359		
WB25_S33_L001	18063865	18063865		
WB27_S27_L001	12693653	12693653		
WB29_S48_L001	19623882	19623882		
WB7_S17_L001	17622738	17622738		
WB8_S14_L001	19306836	19306836		
WB9_S10_L001	10493227	10493227		
WL11_S35_L001	18653866	18653866		
WL12_S36_L001	20839751	20839751		
WL14_S46_L001	15826474	15826474		
WL15_S43_L001	17546858	17546858		
WL23_S44_L001	23074305	23074305		
WL24_S42_L001	17448596	17448596		
WL26_S39_L001	22456868	22456868		
WL27_S37_L001	16376633	16376633		
WL5_S45_L001	19672400	19672400		
WL7_S41_L001	20323470	20323470		
WL8_S40_L001	18224632	18224632		
WL9_S38_L001	19751300	19751300		
Mean	25208149.56			
Stdev	9132015			
