"","kegg.name","id","grpvar","EMO","MEM","MMO","KO","names","Pathway","Bamboo","Larval food","BvL"
"1","K00001_alcohol dehydrogenase [EC:1.1.1.1]","K00001","variable:Microbe_treatment",0.140833138357158,0.256031088064867,-0.0516949454396784,"K00001","alcohol dehydrogenase [EC:1.1.1.1]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Lipid metabolism; Fatty acid degradation | Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Chloroalkane and chloroalkene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Naphthalene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450 | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - cytochrome P450",0.145605549863192,0.0639669575672279,0.0816385922959638
"2","K00002_alcohol dehydrogenase (NADP+) [EC:1.1.1.2]","K00002","variable:Microbe_treatment",0.908987771605669,0.785645169992283,-1.80975993296367,"K00002","alcohol dehydrogenase (NADP+) [EC:1.1.1.2]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Lipid metabolism; Glycerolipid metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Caprolactam degradation | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome",-0.60265373568275,0.53275338943882,-1.13540712512157
"3","K00003_homoserine dehydrogenase [EC:1.1.1.3]","K00003","variable:Microbe_treatment",-0.0139032190966522,-0.00056668536826083,0.315582856701786,"K00003","homoserine dehydrogenase [EC:1.1.1.3]","Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism | Metabolism; Amino acid metabolism; Lysine biosynthesis",0.0499439072451367,0.132879420023332,-0.0829355127781953
"4","K00004_(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]","K00004","variable:Microbe_treatment",0.144828624222487,0.36106944326874,-0.368151999940884,"K00004","(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]","Metabolism; Carbohydrate metabolism; Butanoate metabolism",0.20951483686229,-0.125881123331793,0.335395960194083
"5","K00005_glycerol dehydrogenase [EC:1.1.1.6]","K00005","variable:Microbe_treatment",-0.22407446996127,-0.0717063778036502,0.353226398809121,"K00005","glycerol dehydrogenase [EC:1.1.1.6]","Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Lipid metabolism; Glycerolipid metabolism",-0.00584025965288528,0.0407188216697382,-0.0465590813226235
"6","K00007_D-arabinitol 4-dehydrogenase [EC:1.1.1.11]","K00007","variable:Microbe_treatment",-0.556137948909974,-0.320962700981096,0.991425842658186,"K00007","D-arabinitol 4-dehydrogenase [EC:1.1.1.11]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism",-0.44997371595118,0.519387243257208,-0.969360959208388
"7","K00008_L-iditol 2-dehydrogenase [EC:1.1.1.14]","K00008","variable:Microbe_treatment",-0.333535741099915,-0.279648645384082,0.75479543973063,"K00008","L-iditol 2-dehydrogenase [EC:1.1.1.14]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism",0.127960565725973,-0.0419801927788296,0.169940758504802
"8","K00009_mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]","K00009","variable:Microbe_treatment",-0.290341656775593,-0.21639926773795,0.549970779148164,"K00009","mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]","Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism",0.00602589066492353,0.0202214886089386,-0.0141955979440151
"9","K00010_myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]","K00010","variable:Microbe_treatment",0.0312344873753649,0.0744182588031273,0.199589534758623,"K00010","myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]","Metabolism; Carbohydrate metabolism; Inositol phosphate metabolism | Metabolism; Biosynthesis of other secondary metabolites; Streptomycin biosynthesis",0.0050875217775138,0.180242963043479,-0.175155441265966
"10","K00011_aldehyde reductase [EC:1.1.1.21]","K00011","variable:Microbe_treatment",0.154982745964471,0.0999487024648995,-0.275424140296056,"K00011","aldehyde reductase [EC:1.1.1.21]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Carbohydrate metabolism; Galactose metabolism | Metabolism; Lipid metabolism; Glycerolipid metabolism | Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis",0.042244805857038,-0.0546871205562998,0.0969319264133378
