"","Short_label","Longer_name","Sample_type","Num_larvae","Date_collected","Exp_day","Mesocosm_id","Mesocosm_treatment","Microbe_treatment","Food_type","Mesocosm_type","Treatment_notes","Notes","Raw_reads","Num_larvae_d00","Num_larvae_d08","Num_larvae_d34","Num_larvae_d40","Total_pupae","Proportion_pupated","Biomass_day30","Biomass_day40","lib_size_clean","is.neg"
"LB1","LB1","L_D8_B_larvae","Larvae",5,"6/30/23",8,"B_larvae","B_larvae","None_larvae","Bamboo","Additional control","Larvae & food only","",57253,20,12,11,2,1,0.05,0.197,0.197,49856,FALSE
"LB10","LB10","L_D8_B_EMO.3","Larvae",5,"6/30/23",8,"B_EMO.3","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",76367,20,15,12,8,4,0.2,0.621,0.621,65973,FALSE
"LB11","LB11","L_D8_B_EMO.4","Larvae",5,"6/30/23",8,"B_EMO.4","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",22627,20,16,11,9,3,0.15,0.308,0.308,19680,FALSE
"LB12","LB12","L_D8_B_EMO.5","Larvae",5,"6/30/23",8,"B_EMO.5","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",15378,20,15,0,0,18,0.9,3.16,4.085,13682,FALSE
"LB13","LB13","L_D8_B_ECO.1","Larvae",5,"6/30/23",8,"B_ECO.1","B_ECO","ECO","Bamboo","Experiment","E. coli only","",3440,20,14,7,7,0,0,0,0,3154,FALSE
"LB14","LB14","L_D8_B_ECO.2","Larvae",5,"6/30/23",8,"B_ECO.2","B_ECO","ECO","Bamboo","Experiment","E. coli only","",4158,20,15,9,7,0,0,0,0,3743,FALSE
"LB15","LB15","L_D8_B_ECO.3","Larvae",5,"6/30/23",8,"B_ECO.3","B_ECO","ECO","Bamboo","Experiment","E. coli only","",12836,20,18,5,4,0,0,0,0,11442,FALSE
"LB16","LB16","L_D8_B_ECO.4","Larvae",5,"6/30/23",8,"B_ECO.4","B_ECO","ECO","Bamboo","Experiment","E. coli only","",13301,20,17,7,6,0,0,0,0,11700,FALSE
"LB17","LB17","L_D8_B_ECO.5","Larvae",5,"6/30/23",8,"B_ECO.5","B_ECO","ECO","Bamboo","Experiment","E. coli only","",8468,20,18,6,4,0,0,0,0,7563,FALSE
"LB18","LB18","L_D8_B_MEM.1","Larvae",5,"6/30/23",8,"B_MEM.1","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",64329,20,16,2,1,1,0.05,0,0.227,53786,FALSE
