,input,filtered,denoised,merged,tabled,nonchim
LB1,57253,50338,50291,50257,50257,50042
LB10,76367,69432,69292,68410,68410,67048
LB11,22627,20525,20486,20295,20295,19848
LB12,15378,14156,14114,13953,13953,13781
LB13,3440,3180,3176,3174,3174,3159
LB14,4158,3754,3746,3743,3743,3743
LB15,12836,11482,11476,11474,11474,11474
LB16,13301,11951,11929,11910,11910,11910
LB17,8468,7665,7660,7646,7646,7646
LB18,64329,57881,57607,56800,56800,54684
LB19,46890,43057,42946,42229,42229,41415
LB2,33655,30437,30416,30272,30272,30272
LB20,46052,42341,42154,41692,41692,41103
LB21,54131,49165,49040,48292,48292,47618
LB22,69479,62744,62586,61820,61820,60005
LB23,73665,68218,68078,67313,67313,64230
LB24,36399,32862,32681,31962,31962,30824
LB25,66744,60800,60639,59458,59458,57259
LB26,60546,55578,55400,54430,54430,52628
LB27,66531,60053,59768,58561,58561,56650
LB3,69866,63032,62848,62100,62100,60058
LB4,55250,49599,49508,49215,49215,47595
LB5,62607,56259,56122,55666,55666,54479
LB6,79263,70719,70557,69725,69725,67814
LB7,83117,75473,75325,74726,74726,71855
LB8,43588,39666,39522,39218,39218,39013
LB9,40579,37239,37162,36886,36886,36522
LH1,70837,64041,63964,63098,63098,62754
LL1,29615,27312,27286,27088,27088,27088
LL10,55881,50163,50079,49573,49573,49500
LL11,59663,53905,53707,52941,52941,51759
LL12,39221,35361,35249,34883,34883,33989
LL13,51457,47823,47784,47686,47686,47686
LL14,90315,81633,81551,81283,81283,80495
LL15,83512,75375,75328,75103,75103,74792
LL16,60309,55863,55809,55768,55768,55715
LL17,54799,50117,50076,49985,49985,49957
LL18,87019,78825,78634,77542,77542,74670
LL19,91113,83127,82871,82010,82010,78396
LL2,51522,47454,47427,47039,47039,47039
LL20,54597,48687,48516,47649,47649,45768
LL21,54577,49999,49678,48333,48210,43965
LL22,50438,45546,45415,44943,44943,43475
LL23,55042,52122,52057,51959,51959,51708
LL24,52771,47776,47591,47228,47228,45534
LL25,66477,61621,61507,61027,61027,59201
LL26,97749,88506,88263,86984,86984,82331
LL27,99386,89680,89374,87026,87026,78924
LL3,101981,93195,93102,92033,92033,85967
LL4,83175,74819,74640,73551,73551,69193
LL5,44031,39620,39545,39200,39200,38249
LL6,90456,81947,81796,80872,80872,76107
LL7,47330,44275,44164,43613,43594,41087
LL8,101732,94486,94294,93184,93177,86780
LL9,111660,102078,101801,100787,100173,96782
M1,63554,57175,57128,56303,56303,55447
M2,31740,28878,28797,28430,28372,28369
M3,62671,56014,55034,52238,52152,50356
N1,481,419,416,416,416,416
N2,1292,1182,1179,1125,1125,1125
N3,1244,1105,1098,1098,1098,1098
N4,3175,2877,2850,2842,2842,2842
N5,1350,1208,1201,1158,1158,1158
N6,1270,1138,1135,1135,1135,1135
PCR-NEG-1,419,388,387,387,387,387
PCR-NEG-2,2368,2121,2119,2119,2119,2119
PCR-POS-1,267070,239021,238504,227046,227009,168925
PCR-POS-2,193237,174373,173647,164597,164576,122754
WB1,63140,57544,57467,57074,57074,55865
WB10,154756,140328,139704,135772,135772,114863
WB11,150697,135515,134960,131975,131975,115533
WB12,114495,102755,102089,98112,98112,78796
WB13,193555,176116,175092,168724,168724,148458
WB14,166592,153298,152052,145454,145454,127716
WB15,121161,110910,110085,105545,105545,92774
WB16,151569,137755,136625,130063,130063,115214
WB17,159928,145193,144131,138214,138214,122056
WB18,228989,208880,207608,198594,198594,173228
WB19,147700,132965,132895,132380,132380,127848
WB2,1870,1716,1706,1702,1702,1702
WB20,135746,123131,123034,122456,122456,117739
WB21,124189,113273,113151,112770,112770,108970
WB22,122674,110535,110455,109994,109994,105911
WB23,100709,92413,92303,92060,92060,88372
WB24,75079,67624,67560,67411,67411,67411
WB25,198167,179576,178571,171381,171381,154005
WB26,204624,186677,185415,178140,178140,155854
WB27,197298,179993,179200,173954,173954,160237
WB28,147391,133851,133136,128768,128766,117302
WB29,162113,146706,145862,140471,140471,127055
WB3,9849,8870,8845,8791,8791,8791
WB30,177379,160265,159021,152586,152437,132305
WB31,210029,190949,189904,183280,183165,167961
WB32,266325,241932,240533,233664,233664,216195
WB33,332097,297314,296010,285549,285549,260672
WB34,238232,224089,223100,217805,217805,199892
WB35,162232,147842,146844,142029,142029,128984
WB36,86077,78548,77896,74465,74465,66355
WB37,70004,64536,64398,63682,63682,59730
WB38,91154,83507,83451,82913,82913,76538
WB39,61698,56405,56387,56288,56288,56288
WB4,83833,76324,76275,76144,76142,76142
WB40,45843,41450,41383,41078,41078,38218
WB41,90585,81467,80418,75774,75774,65555
WB42,142302,129344,128333,123921,123921,111824
WB43,142075,128037,127413,124104,124104,117938
WB44,141822,127551,126547,121043,120975,102594
WB45,120582,111232,110357,106903,106903,95263
WB46,136799,123052,121989,116656,116615,95233
WB47,114290,104970,103771,100409,100409,96370
WB48,134593,120216,119035,114617,114608,104837
WB49,91941,82891,82048,79780,79780,76252
WB5,91658,83703,83636,83038,83038,81188
WB50,151644,135946,134161,129518,129518,119145
WB51,90710,82047,80853,77923,77923,72110
WB52,136381,123719,121662,116435,116435,109697
WB53,70965,65251,65113,64593,64593,60450
WB54,71826,66194,66140,65747,65747,63022
WB55,104622,95026,94908,93370,93370,84381
WB56,143682,130123,129951,128352,128352,117461
WB57,102762,94329,94185,93297,93297,86392
WB58,101372,90622,90551,90151,90151,90131
WB59,66999,60697,60280,59044,59044,57776
WB6,65165,58963,58903,58520,58520,58251
WB60,128894,116306,114904,109831,109831,102468
WB61,121032,111740,110600,106708,106708,98757
WB62,164334,146733,144706,139192,139192,126721
WB63,104178,92818,91956,89744,89744,86784
WB64,117541,106703,104832,99875,98306,87943
WB65,164239,146697,144274,137479,137479,123828
WB66,134307,121048,119486,114690,114649,105891
WB67,119012,108808,107099,102000,102000,92668
WB68,123522,108400,106944,103169,103166,95865
WB69,142364,128194,125335,116782,116782,101018
WB7,133173,121102,120460,117481,117481,102396
WB70,170574,153108,151342,145904,145767,132050
WB8,150363,135514,134859,129862,129862,108936
WB9,149261,133311,132664,126812,126812,107564
WL1,88708,81174,81116,80700,80700,80700
WL10,213471,191041,190057,184900,184900,140885
WL11,156662,140347,139569,133829,133829,112718
WL12,143158,126574,125504,119575,119575,97152
WL13,99916,91119,90592,87583,87583,74588
WL14,124777,111524,110626,105227,105227,87163
WL15,143576,130744,129912,125539,125539,108887
WL16,113153,103580,103153,99441,99231,86259
WL17,148743,135001,134907,134613,134613,131184
WL18,105803,96432,96363,96168,96168,94229
WL19,134358,120665,120593,120262,120262,117385
WL2,1011,919,916,903,903,903
WL20,112521,100128,100041,99737,99737,97794
WL21,82024,75619,75580,75437,75437,73258
WL22,84065,75867,75828,75720,75720,75720
WL23,77744,70003,69370,65392,65392,55178
WL24,119945,108246,107520,103188,103188,87306
WL25,171802,154825,153832,147076,147076,123575
WL26,130957,116782,115713,110315,110315,93147
WL27,161014,144835,143522,138083,138083,115310
WL28,170049,152511,151272,143698,143690,112467
WL29,134586,121176,120663,116334,116334,94212
WL3,1121,1036,1027,983,891,891
WL30,122343,114180,113613,110488,110488,92164
WL31,90049,80818,80355,77209,77209,64450
WL32,174386,156575,156020,150722,150722,124914
WL33,147990,132047,131468,127433,127415,107446
WL34,153574,137691,137327,134844,134808,122427
WL4,60375,55363,55322,55047,55047,55047
WL5,128296,119142,118881,117339,117339,97743
WL6,92704,84053,83744,81261,81261,66035
WL7,137202,123609,123217,120384,120384,98440
WL8,117557,107761,107411,104922,104922,83773
WL9,77045,69255,68901,67534,67534,51959
