"","Mesocosm_id","richness.unique"
"1","L_ECO+",1
"2","B_food",4
"3","B_AHK.1",4
"4","B_ECO.3",6
"5","B_ECO+",2
"6","L_larvae",3
"7","Lab_water",2
"8","L_ECO.1",5
"9","L_AHK.1",3
"10","L_ECO.4",3
"11","L_ECO.5",3
"12","L_ECO.3",3
"13","L_ALL.1",28
"14","L_ECO.2",3
"15","B_larvae",5
"16","Hatch_flask",6
"17","L_MMO.3",21
"18","B_ECO.4",5
"19","B_ECO.1",4
"20","B_ECO.2",5
"21","L_ALL.3",32
"22","B_ECO.5",5
"23","B_EMO.1",135
"24","L_MEM.1",43
"25","B_MMO.3",64
"26","L_ALL.4",36
"27","L_MEM.2",43
"28","L_EMO+",23
"29","L_ALL+",16
"30","B_ALL.1",138
"31","L_MMO.2",20
"32","B_MMO.5",54
"33","L_EMO.2",46
"34","L_ALL.5",34
"35","Microbe_stock_ecoli",2
"36","B_MMO.4",71
"37","B_MMO.2",72
"38","B_MEM.5",139
"39","B_EMO.5",128
"40","B_EMO.4",132
"41","L_ALL.2",29
"42","B_MEM.2",156
"43","B_EMO.2",130
"44","L_MMO.4",17
"45","L_MEM.5",40
"46","L_EMO.5",40
"47","L_EMO.1",43
"48","B_MMO+",34
"49","B_MEM+",106
"50","L_MMO.5",17
"51","B_EMO.3",133
"52","L_MEM.3",40
"53","B_MEM.4",150
"54","B_MEM.1",134
"55","L_MMO.1",15
"56","B_MMO.1",73
"57","L_EMO.3",47
"58","Microbe_stock_mosq",26
"59","B_ALL.2",147
"60","B_ALL+",91
"61","B_ALL.5",151
"62","L_MMO+",12
"63","B_MEM.3",129
"64","L_EMO.4",49
"65","B_ALL.3",133
"66","B_ALL.4",141
"67","L_MEM.4",50
"68","Positive",7
"69","B_EMO+",114
"70","Microbe_stock_brom",72
"71","L_MEM+",35
