"","OTU","Sample","Abundance","Short_label","Longer_name","Sample_type","Num_larvae","Date_collected","Exp_day","Mesocosm_id","Mesocosm_treatment","Microbe_treatment","Food_type","Mesocosm_type","Treatment_notes","Notes","Raw_reads","Num_larvae_d00","Num_larvae_d08","Num_larvae_d34","Num_larvae_d40","Total_pupae","Proportion_pupated","Biomass_day30","Biomass_day40","lib_size_clean","is.neg","Kingdom","Phylum","Class","Order","Family","Genus","Species","id","sequence","likely_source"
"1","ASV0001","LB10",0,"LB10","L_D8_B_EMO.3","Larvae",5,"6/30/23",8,"B_EMO.3","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",76367,20,15,12,8,4,0.2,0.621,0.621,65973,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia",NA,NA,NA,NA
"2","ASV0003","LB10",0,"LB10","L_D8_B_EMO.3","Larvae",5,"6/30/23",8,"B_EMO.3","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",76367,20,15,12,8,4,0.2,0.621,0.621,65973,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersinia",NA,NA,NA,NA
"3","ASV0005","LB10",0,"LB10","L_D8_B_EMO.3","Larvae",5,"6/30/23",8,"B_EMO.3","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",76367,20,15,12,8,4,0.2,0.621,0.621,65973,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA,NA,NA,NA
"4","ASV0006","LB10",0,"LB10","L_D8_B_EMO.3","Larvae",5,"6/30/23",8,"B_EMO.3","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",76367,20,15,12,8,4,0.2,0.621,0.621,65973,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Rhodoblastus",NA,NA,NA,NA
"5","ASV0007","LB10",0,"LB10","L_D8_B_EMO.3","Larvae",5,"6/30/23",8,"B_EMO.3","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",76367,20,15,12,8,4,0.2,0.621,0.621,65973,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Aquitalea",NA,NA,NA,NA
"6","ASV0008","LB10",0,"LB10","L_D8_B_EMO.3","Larvae",5,"6/30/23",8,"B_EMO.3","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",76367,20,15,12,8,4,0.2,0.621,0.621,65973,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",NA,NA,NA,NA
"7","ASV0009","LB10",0,"LB10","L_D8_B_EMO.3","Larvae",5,"6/30/23",8,"B_EMO.3","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",76367,20,15,12,8,4,0.2,0.621,0.621,65973,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter",NA,NA,NA,NA
"8","ASV0011","LB10",0,"LB10","L_D8_B_EMO.3","Larvae",5,"6/30/23",8,"B_EMO.3","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",76367,20,15,12,8,4,0.2,0.621,0.621,65973,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium",NA,NA,NA,NA
"9","ASV0013","LB10",0.675677743100177,"LB10","L_D8_B_EMO.3","Larvae",5,"6/30/23",8,"B_EMO.3","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",76367,20,15,12,8,4,0.2,0.621,0.621,65973,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Kaistiaceae","Kaistia",NA,NA,NA,NA
"10","ASV0030","LB10",0,"LB10","L_D8_B_EMO.3","Larvae",5,"6/30/23",8,"B_EMO.3","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",76367,20,15,12,8,4,0.2,0.621,0.621,65973,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella",NA,NA,NA,NA
