"","component","grpvar","term","grp","condval","condsd"
"cond.1","cond","variable","(Intercept)","ASV0001",1.13652453929485e-07,0.000460759940109853
"cond.2","cond","variable","(Intercept)","ASV0002",1.06242776754332e-07,0.000457147437243764
"cond.3","cond","variable","(Intercept)","ASV0003",2.29905401233949e-07,0.000541832079348663
"cond.4","cond","variable","(Intercept)","ASV0004",3.54155785933665e-08,0.000434240473851697
"cond.5","cond","variable","(Intercept)","ASV0005",1.30187783423656e-08,0.000431691014336224
"cond.6","cond","variable","(Intercept)","ASV0006",1.65401208668064e-07,0.00049161811752075
"cond.7","cond","variable","(Intercept)","ASV0007",8.89171201276406e-08,0.000449558060996465
"cond.8","cond","variable","(Intercept)","ASV0009",9.16445179232272e-08,0.00045067136261799
"cond.9","cond","variable","(Intercept)","ASV0010",6.98126137158896e-08,0.000442640955712363
"cond.10","cond","variable","(Intercept)","ASV0011",-1.5056545119018e-08,0.000431825848253242
"cond.11","cond","variable","(Intercept)","ASV0012",1.34968020423203e-08,0.000431720890543076
"cond.12","cond","variable","(Intercept)","ASV0013",5.64883420098849e-08,0.000438755241611454
"cond.13","cond","variable","(Intercept)","ASV0016",1.57583492557967e-08,0.000431876805800579
"cond.14","cond","variable","(Intercept)","ASV0019",9.1743030961535e-08,0.000450712152390064
"cond.15","cond","variable","(Intercept)","ASV0024",5.52617172542617e-08,0.000438437218949259
"cond.16","cond","variable","(Intercept)","ASV0027",6.83721501654118e-08,0.000442183132979171
"cond.17","cond","variable","(Intercept)","ASV0030",-4.47360152856379e-09,0.000431338533746023
"cond.18","cond","variable","(Intercept)","ASV0032",5.43681693641832e-09,0.00043136105212664
"cond.19","cond","variable","(Intercept)","ASV0033",1.09278326083628e-07,0.000458601364632352
"cond.20","cond","variable","(Intercept)","ASV0043",5.28933874392956e-08,0.000437842328706777
"cond.21","cond","variable","(Intercept)","ASV0053",5.14710700132787e-08,0.000437497210952002
"cond.22","cond","variable","(Intercept)","ASV0054",4.11539689643552e-08,0.00043526887745503
"cond.23","cond","variable","(Intercept)","ASV0055",2.97736212367532e-08,0.000433377756056963
"cond.24","cond","variable","(Intercept)","ASV0058",3.17804535838022e-08,0.00043366770276922
"cond.25","cond","variable","(Intercept)","ASV0059",2.79923612836635e-08,0.000433136088417216
"cond.26","cond","variable","(Intercept)","ASV0060",4.45998390848456e-08,0.000435959138392706
"cond.27","cond","variable","(Intercept)","ASV0061",8.68054856962034e-08,0.000448717384987496
"cond.28","cond","variable","(Intercept)","ASV0066",-3.52080903159935e-08,0.000434206133448308
"cond.29","cond","variable","(Intercept)","ASV0070",-3.11335160554105e-08,0.000433572189590798
"cond.30","cond","variable","(Intercept)","ASV0079",6.59494460327304e-08,0.000441433628086633
"cond.31","cond","variable","(Intercept)","ASV0083",6.18397446109128e-08,0.000440221362636016
"cond.32","cond","variable","(Intercept)","ASV0085",-2.23675264300226e-08,0.000432470101926913
"cond.33","cond","variable","(Intercept)","ASV0087",3.51587476413049e-09,0.000431320481720271
"cond.34","cond","variable","(Intercept)","ASV0099",5.73640745912956e-08,0.000438986414863918
"cond.35","cond","variable","(Intercept)","ASV0100",-4.03554299724747e-09,0.000431329738959397
"cond.36","cond","variable","(Intercept)","ASV0102",-4.7391272825324e-08,0.000436558088164322
"cond.37","cond","variable","(Intercept)","ASV0109",-3.18395878601804e-08,0.000433676530722931
"cond.38","cond","variable","(Intercept)","ASV0125",1.98215727296572e-08,0.000432217298422584
"cond.39","cond","variable","(Intercept)","ASV0130",5.58507469668779e-08,0.000438589091626364
"cond.40","cond","variable","(Intercept)","ASV0134",2.98288831432293e-08,0.000433385489234369
"cond.41","cond","variable","(Intercept)","ASV0138",-6.21850774208768e-08,0.000440320353256919
"cond.42","cond","variable","(Intercept)","ASV0149",-4.49695697429915e-08,0.000436036427025726
"cond.43","cond","variable","(Intercept)","ASV0150",-6.37183902068224e-08,0.000440766257395348
"cond.44","cond","variable","(Intercept)","ASV0152",-1.45648207050283e-08,0.000431791525818623
"cond.45","cond","variable","(Intercept)","ASV0164",-3.18953877523672e-08,0.000433684873541452
"cond.46","cond","variable","(Intercept)","ASV0210",-1.56689438708512e-08,0.000431870186407672
"cond.47","cond","variable","(Intercept)","ASV0212",-3.15628709369709e-08,0.000433635362728935
"cond.48","cond","variable","(Intercept)","ASV0218",-6.97057209564549e-08,0.000442606671733339
"cond.49","cond","variable","(Intercept)","ASV0220",-1.09762202150406e-08,0.000431575473254159
"cond.50","cond","variable","(Intercept)","ASV0225",-4.16616956995531e-08,0.000435367166443898
"cond.51","cond","variable","(Intercept)","ASV0262",-6.20275123297678e-08,0.000440275122536732
"cond.52","cond","variable","(Intercept)","ASV0276",-3.4750878798762e-08,0.00043413116924781
"cond.53","cond","variable","(Intercept)","ASV0289",-8.42764021204799e-08,0.00044773511359615
"cond.54","cond","variable","(Intercept)","ASV0311",-7.11228514964611e-08,0.000443065256711268
"cond.55","cond","variable:Microbe_treatment","(Intercept)","ASV0001:ALL",0.269378159913953,0.958341510062204
"cond.56","cond","variable:Microbe_treatment","(Intercept)","ASV0001:ECO",8.86314464600234,1.16581022474758
"cond.57","cond","variable:Microbe_treatment","(Intercept)","ASV0001:EMO",-2.06903288586682,1.04775046419359
"cond.58","cond","variable:Microbe_treatment","(Intercept)","ASV0001:MEM",-3.32110853386318,1.09953290660198
"cond.59","cond","variable:Microbe_treatment","(Intercept)","ASV0001:MMO",-1.40068887712556,1.14244169369054
"cond.60","cond","variable:Microbe_treatment","(Intercept)","ASV0002:ALL",-1.5958745519418,1.03508889880099
"cond.61","cond","variable:Microbe_treatment","(Intercept)","ASV0002:ECO",5.33546984614178,1.05784023237048
"cond.62","cond","variable:Microbe_treatment","(Intercept)","ASV0002:EMO",-1.14392119743947,1.00375446668852
"cond.63","cond","variable:Microbe_treatment","(Intercept)","ASV0002:MEM",-1.71247062831756,0.992508857563308
"cond.64","cond","variable:Microbe_treatment","(Intercept)","ASV0002:MMO",1.30582022498115,0.980825440275389
"cond.65","cond","variable:Microbe_treatment","(Intercept)","ASV0003:ALL",1.34059534304697,0.95580298121297
"cond.66","cond","variable:Microbe_treatment","(Intercept)","ASV0003:ECO",-0.575564714920768,1.60598636972913
"cond.67","cond","variable:Microbe_treatment","(Intercept)","ASV0003:EMO",-1.47685928121826,1.0033258986697
"cond.68","cond","variable:Microbe_treatment","(Intercept)","ASV0003:MEM",1.50203848594425,0.949010997372832
"cond.69","cond","variable:Microbe_treatment","(Intercept)","ASV0003:MMO",3.94675569009346,0.98601521568036
"cond.70","cond","variable:Microbe_treatment","(Intercept)","ASV0004:ALL",0.445292653492894,1.1428750731865
"cond.71","cond","variable:Microbe_treatment","(Intercept)","ASV0004:ECO",-0.050384627199336,1.91106546402659
"cond.72","cond","variable:Microbe_treatment","(Intercept)","ASV0004:EMO",0.781006319745665,1.11914928500233
"cond.73","cond","variable:Microbe_treatment","(Intercept)","ASV0004:MEM",0.157223194272432,1.10716311292062
"cond.74","cond","variable:Microbe_treatment","(Intercept)","ASV0004:MMO",-0.603435785278782,1.60136164545535
"cond.75","cond","variable:Microbe_treatment","(Intercept)","ASV0005:ALL",0.804984613110062,1.069578064893
"cond.76","cond","variable:Microbe_treatment","(Intercept)","ASV0005:ECO",-0.14983378763264,1.83248030062543
"cond.77","cond","variable:Microbe_treatment","(Intercept)","ASV0005:EMO",0.113531340119091,1.10044201270489
"cond.78","cond","variable:Microbe_treatment","(Intercept)","ASV0005:MEM",0.595224212979017,1.04601702191744
