"","component","grpvar","term","grp","condval","condsd"
"cond.1","cond","variable","(Intercept)","ASV0001",7.97260555274267e-08,0.000387751924486527
"cond.2","cond","variable","(Intercept)","ASV0002",7.53351672626792e-08,0.000385101149898754
"cond.3","cond","variable","(Intercept)","ASV0003",1.57669565815699e-07,0.000453902419737542
"cond.4","cond","variable","(Intercept)","ASV0004",2.35307250261192e-08,0.000364543559584302
"cond.5","cond","variable","(Intercept)","ASV0005",8.80989557536365e-09,0.000362573448938824
"cond.6","cond","variable","(Intercept)","ASV0006",1.15522827779727e-07,0.000413982984322985
"cond.7","cond","variable","(Intercept)","ASV0007",6.23749333416504e-08,0.00037806436747326
"cond.8","cond","variable","(Intercept)","ASV0009",6.45800213735007e-08,0.000379176753771627
"cond.9","cond","variable","(Intercept)","ASV0010",4.79022455273343e-08,0.000371658941306012
"cond.10","cond","variable","(Intercept)","ASV0011",-1.02651899218795e-08,0.00036268861796487
"cond.11","cond","variable","(Intercept)","ASV0012",9.69454978699756e-09,0.000362641368889386
"cond.12","cond","variable","(Intercept)","ASV0013",3.61882038503332e-08,0.000367649889342884
"cond.13","cond","variable","(Intercept)","ASV0016",9.95980264115924e-09,0.000362662996733268
"cond.14","cond","variable","(Intercept)","ASV0019",6.24247563336473e-08,0.000378089110557955
"cond.15","cond","variable","(Intercept)","ASV0024",3.75525269344929e-08,0.000368061352429865
"cond.16","cond","variable","(Intercept)","ASV0027",4.6398175256224e-08,0.000371084352498227
"cond.17","cond","variable","(Intercept)","ASV0030",-3.39240987383339e-09,0.000362299044386761
"cond.18","cond","variable","(Intercept)","ASV0032",-6.90990584868141e-10,0.000362253234121374
"cond.19","cond","variable","(Intercept)","ASV0033",7.49759663679734e-08,0.000384890162155887
"cond.20","cond","variable","(Intercept)","ASV0043",3.44685845487799e-08,0.000367152347859498
"cond.21","cond","variable","(Intercept)","ASV0053",3.40717555985515e-08,0.000367040877832482
"cond.22","cond","variable","(Intercept)","ASV0054",2.75197635328856e-08,0.000365383025230322
"cond.23","cond","variable","(Intercept)","ASV0055",1.84342059204426e-08,0.000363659825363323
"cond.24","cond","variable","(Intercept)","ASV0058",1.99747950865712e-08,0.000363904541563579
"cond.25","cond","variable","(Intercept)","ASV0059",1.9380245799322e-08,0.000363807792588974
"cond.26","cond","variable","(Intercept)","ASV0060",2.92671257658998e-08,0.000365791368076419
"cond.27","cond","variable","(Intercept)","ASV0061",5.92096775768067e-08,0.000376529792472267
"cond.28","cond","variable","(Intercept)","ASV0066",-2.58007390900854e-08,0.000365005421093992
"cond.29","cond","variable","(Intercept)","ASV0070",-2.62121563284984e-08,0.000365093612929148
"cond.30","cond","variable","(Intercept)","ASV0079",4.48213753757702e-08,0.000370500749080392
"cond.31","cond","variable","(Intercept)","ASV0083",4.30398050841396e-08,0.000369864586522066
"cond.32","cond","variable","(Intercept)","ASV0085",-1.5601260732806e-08,0.000363260711113957
"cond.33","cond","variable","(Intercept)","ASV0087",-8.9094838130744e-11,0.000362251284148441
"cond.34","cond","variable","(Intercept)","ASV0099",3.92987391102411e-08,0.000368609489140206
"cond.35","cond","variable","(Intercept)","ASV0100",-2.66246912145301e-09,0.000362280690024328
"cond.36","cond","variable","(Intercept)","ASV0102",-3.34504497421113e-08,0.000366868880040463
"cond.37","cond","variable","(Intercept)","ASV0109",-2.43350711637625e-08,0.000364702417744758
"cond.38","cond","variable","(Intercept)","ASV0125",1.19771731567341e-08,0.000362846538337216
"cond.39","cond","variable","(Intercept)","ASV0130",3.9064499058787e-08,0.000368534562578741
"cond.40","cond","variable","(Intercept)","ASV0134",2.13299890501937e-08,0.000364135886525268
"cond.41","cond","variable","(Intercept)","ASV0138",-4.61264489827135e-08,0.000370982409414591
"cond.42","cond","variable","(Intercept)","ASV0149",-3.33107796693725e-08,0.000366830639383749
"cond.43","cond","variable","(Intercept)","ASV0150",-4.46087991508205e-08,0.00037042354572366
"cond.44","cond","variable","(Intercept)","ASV0152",-1.19390310826004e-08,0.000362842756153474
"cond.45","cond","variable","(Intercept)","ASV0164",-2.26052644875907e-08,0.000364367305575041
"cond.46","cond","variable","(Intercept)","ASV0210",-1.10623041303981e-08,0.000362759131626808
"cond.47","cond","variable","(Intercept)","ASV0212",-2.389489878656e-08,0.000364614831116725
"cond.48","cond","variable","(Intercept)","ASV0218",-4.86253527166411e-08,0.000371941383712807
"cond.49","cond","variable","(Intercept)","ASV0220",-9.48162262086682e-09,0.000362624429873878
"cond.50","cond","variable","(Intercept)","ASV0225",-3.10295988954527e-08,0.000366228193547872
"cond.51","cond","variable","(Intercept)","ASV0262",-4.40800059299609e-08,0.000370233021381762
"cond.52","cond","variable","(Intercept)","ASV0276",-2.59528783648085e-08,0.000365037874552521
"cond.53","cond","variable","(Intercept)","ASV0289",-6.21507556243391e-08,0.000377953263262258
"cond.54","cond","variable","(Intercept)","ASV0311",-5.26484104692152e-08,0.000373585770410868
"cond.55","cond","variable:Microbe_treatment","(Intercept)","ASV0001:ALL",0.43517343019902,0.931058210083399
"cond.56","cond","variable:Microbe_treatment","(Intercept)","ASV0001:ECO",9.16908143593097,1.12324639822065
"cond.57","cond","variable:Microbe_treatment","(Intercept)","ASV0001:EMO",-2.28713672204606,0.997732965766126
"cond.58","cond","variable:Microbe_treatment","(Intercept)","ASV0001:MEM",-3.45022321457172,1.06089862740873
"cond.59","cond","variable:Microbe_treatment","(Intercept)","ASV0001:MMO",-1.41895136241482,1.11166606482393
"cond.60","cond","variable:Microbe_treatment","(Intercept)","ASV0002:ALL",-1.59016633140172,1.0095195654925
"cond.61","cond","variable:Microbe_treatment","(Intercept)","ASV0002:ECO",5.65548736646086,1.01322906664072
"cond.62","cond","variable:Microbe_treatment","(Intercept)","ASV0002:EMO",-1.29282507829011,0.964054563161276
"cond.63","cond","variable:Microbe_treatment","(Intercept)","ASV0002:MEM",-1.85308838867717,0.956407441776004
"cond.64","cond","variable:Microbe_treatment","(Intercept)","ASV0002:MMO",1.39371625142835,0.942195154089528
"cond.65","cond","variable:Microbe_treatment","(Intercept)","ASV0003:ALL",1.33112027689928,0.925165339588097
"cond.66","cond","variable:Microbe_treatment","(Intercept)","ASV0003:ECO",-0.600172640770227,1.63140588618478
"cond.67","cond","variable:Microbe_treatment","(Intercept)","ASV0003:EMO",-1.56788793383765,0.98204021455216
"cond.68","cond","variable:Microbe_treatment","(Intercept)","ASV0003:MEM",1.55791540687376,0.918726846378458
"cond.69","cond","variable:Microbe_treatment","(Intercept)","ASV0003:MMO",4.12017997887003,0.952027914238654
"cond.70","cond","variable:Microbe_treatment","(Intercept)","ASV0004:ALL",0.44696365824947,1.12993277618637
"cond.71","cond","variable:Microbe_treatment","(Intercept)","ASV0004:ECO",-0.0483649128489045,1.9611420530616
"cond.72","cond","variable:Microbe_treatment","(Intercept)","ASV0004:EMO",0.752941995425402,1.10076001408352
"cond.73","cond","variable:Microbe_treatment","(Intercept)","ASV0004:MEM",0.208945727591639,1.08736293799376
"cond.74","cond","variable:Microbe_treatment","(Intercept)","ASV0004:MMO",-0.63798882852107,1.62106841179359
"cond.75","cond","variable:Microbe_treatment","(Intercept)","ASV0005:ALL",0.760534308730485,1.03872346366585
"cond.76","cond","variable:Microbe_treatment","(Intercept)","ASV0005:ECO",-0.142086038882482,1.88333110508116
"cond.77","cond","variable:Microbe_treatment","(Intercept)","ASV0005:EMO",0.132243823828204,1.05981324487225
"cond.78","cond","variable:Microbe_treatment","(Intercept)","ASV0005:MEM",0.690264471662824,1.00786822316299
"cond.79","cond","variable:Microbe_treatment","(Intercept)","ASV0005:MMO",-1.17045369074125,1.46927334862772
"cond.80","cond","variable:Microbe_treatment","(Intercept)","ASV0006:ALL",1.58890682736161,0.916806913605098
"cond.81","cond","variable:Microbe_treatment","(Intercept)","ASV0006:ECO",-0.781771500261752,1.57156219018576
"cond.82","cond","variable:Microbe_treatment","(Intercept)","ASV0006:EMO",0.106140786634652,0.938519470245125
"cond.83","cond","variable:Microbe_treatment","(Intercept)","ASV0006:MEM",0.725639564603837,0.913683319855396
"cond.84","cond","variable:Microbe_treatment","(Intercept)","ASV0006:MMO",1.90814759031914,0.958129845531056
"cond.85","cond","variable:Microbe_treatment","(Intercept)","ASV0007:ALL",0.127254790470455,0.936855465871667
"cond.86","cond","variable:Microbe_treatment","(Intercept)","ASV0007:ECO",-0.730742152736802,1.58673411973844
"cond.87","cond","variable:Microbe_treatment","(Intercept)","ASV0007:EMO",-0.243807906429104,0.94020057681293
"cond.88","cond","variable:Microbe_treatment","(Intercept)","ASV0007:MEM",0.32356815334065,0.913602129329806
"cond.89","cond","variable:Microbe_treatment","(Intercept)","ASV0007:MMO",2.43891426228814,0.942968323755107
"cond.90","cond","variable:Microbe_treatment","(Intercept)","ASV0009:ALL",0.797741558129441,0.951699269643475
"cond.91","cond","variable:Microbe_treatment","(Intercept)","ASV0009:ECO",-0.407539983301707,1.71869422387472
"cond.92","cond","variable:Microbe_treatment","(Intercept)","ASV0009:EMO",0.48648862117902,0.956630939190929
"cond.93","cond","variable:Microbe_treatment","(Intercept)","ASV0009:MEM",0.0411296451592118,0.943458451865055
"cond.94","cond","variable:Microbe_treatment","(Intercept)","ASV0009:MMO",1.06507329004995,1.01047954212611
"cond.95","cond","variable:Microbe_treatment","(Intercept)","ASV0010:ALL",-0.164132821833054,0.99260316265147
"cond.96","cond","variable:Microbe_treatment","(Intercept)","ASV0010:ECO",2.17959667307726,1.37926678922427
"cond.97","cond","variable:Microbe_treatment","(Intercept)","ASV0010:EMO",0.32230167299139,0.972052391727234
"cond.98","cond","variable:Microbe_treatment","(Intercept)","ASV0010:MEM",0.529154642002424,0.940803757086011
"cond.99","cond","variable:Microbe_treatment","(Intercept)","ASV0010:MMO",-1.39610873561585,1.40851884693624
"cond.100","cond","variable:Microbe_treatment","(Intercept)","ASV0011:ALL",0.640975322128984,0.989732098656039
"cond.101","cond","variable:Microbe_treatment","(Intercept)","ASV0011:ECO",-0.324568276893792,1.76394708537703
"cond.102","cond","variable:Microbe_treatment","(Intercept)","ASV0011:EMO",0.863875588777041,0.976062197740068
"cond.103","cond","variable:Microbe_treatment","(Intercept)","ASV0011:MEM",0.290131023804307,0.971684509947121
"cond.104","cond","variable:Microbe_treatment","(Intercept)","ASV0011:MMO",-1.78560052449469,1.36155379459633
"cond.105","cond","variable:Microbe_treatment","(Intercept)","ASV0012:ALL",0.517869351338147,1.02545069238777
"cond.106","cond","variable:Microbe_treatment","(Intercept)","ASV0012:ECO",-0.137360954056131,1.88674541494986
"cond.107","cond","variable:Microbe_treatment","(Intercept)","ASV0012:EMO",-0.561861123361419,1.08208425045381
"cond.108","cond","variable:Microbe_treatment","(Intercept)","ASV0012:MEM",0.0864890369437729,1.01053948871945
"cond.109","cond","variable:Microbe_treatment","(Intercept)","ASV0012:MMO",0.39252937233028,1.21008590042286
"cond.110","cond","variable:Microbe_treatment","(Intercept)","ASV0013:ALL",1.17174312406865,0.945895219909168
"cond.111","cond","variable:Microbe_treatment","(Intercept)","ASV0013:ECO",-0.54340618923147,1.65978414065499
"cond.112","cond","variable:Microbe_treatment","(Intercept)","ASV0013:EMO",2.06959104235978,0.948905613265641
"cond.113","cond","variable:Microbe_treatment","(Intercept)","ASV0013:MEM",0.882438776702441,0.942080251396133
