"","component","grpvar","term","grp","condval","condsd"
"cond.1","cond","variable","(Intercept)","ASV0001",3.57516729702273,1.70361217674748
"cond.2","cond","variable","(Intercept)","ASV0002",6.47277539776881,1.89978163676472
"cond.3","cond","variable","(Intercept)","ASV0003",2.37835162961374,1.70256293058924
"cond.4","cond","variable","(Intercept)","ASV0004",2.99386770702882,1.76713395095866
"cond.5","cond","variable","(Intercept)","ASV0005",3.22405124422417,1.77692527673234
"cond.6","cond","variable","(Intercept)","ASV0007",4.08887751248613,1.77658381281646
"cond.7","cond","variable","(Intercept)","ASV0008",3.29633491695756,1.7583228710826
"cond.8","cond","variable","(Intercept)","ASV0009",4.39272423094918,1.79459502007534
"cond.9","cond","variable","(Intercept)","ASV0010",2.83234767164898,1.76041430663904
"cond.10","cond","variable","(Intercept)","ASV0011",2.7170110073297,1.75800041697388
"cond.11","cond","variable","(Intercept)","ASV0012",4.29997299807803,1.79127029443768
"cond.12","cond","variable","(Intercept)","ASV0015",2.08389067275009,1.74422304803559
"cond.13","cond","variable","(Intercept)","ASV0016",2.48135839537139,1.74739150195164
"cond.14","cond","variable","(Intercept)","ASV0017",0.465877494046897,1.73260552837247
"cond.15","cond","variable","(Intercept)","ASV0018",0.217728629379113,1.66183026765315
"cond.16","cond","variable","(Intercept)","ASV0020",1.56222679863813,1.74519235876888
"cond.17","cond","variable","(Intercept)","ASV0021",-0.609652265154883,1.81972310226459
"cond.18","cond","variable","(Intercept)","ASV0022",2.17078624964708,1.74060709447703
"cond.19","cond","variable","(Intercept)","ASV0023",-0.155824369175975,1.79232332279314
"cond.20","cond","variable","(Intercept)","ASV0024",2.17928959790096,1.74095095061407
"cond.21","cond","variable","(Intercept)","ASV0025",-0.233439865965713,1.79280282936455
"cond.22","cond","variable","(Intercept)","ASV0027",0.671420236431957,1.69220372653238
"cond.23","cond","variable","(Intercept)","ASV0033",-0.242907952580059,1.81589426353081
"cond.24","cond","variable","(Intercept)","ASV0036",2.11072949079296,1.76152952734109
"cond.25","cond","variable","(Intercept)","ASV0037",1.65001413567841,1.76329080066781
"cond.26","cond","variable","(Intercept)","ASV0039",0.464071253179697,1.7629567175109
"cond.27","cond","variable","(Intercept)","ASV0040",-0.64123534358321,1.8182347265706
"cond.28","cond","variable","(Intercept)","ASV0042",2.02440801887944,1.74018788245231
"cond.29","cond","variable","(Intercept)","ASV0044",-0.140061290989864,1.78977878009162
"cond.30","cond","variable","(Intercept)","ASV0051",3.26249108778615,1.73201359544606
"cond.31","cond","variable","(Intercept)","ASV0054",0.817461938244801,1.70724892593953
"cond.32","cond","variable","(Intercept)","ASV0057",0.364530082638278,1.74080394557436
"cond.33","cond","variable","(Intercept)","ASV0059",0.985927157401888,1.73723594597052
"cond.34","cond","variable","(Intercept)","ASV0063",1.46671706708931,1.73264725916326
"cond.35","cond","variable","(Intercept)","ASV0065",0.275651827621815,1.73886405229156
"cond.36","cond","variable","(Intercept)","ASV0066",0.0580181801749037,1.78234717811692
"cond.37","cond","variable","(Intercept)","ASV0069",-0.357851690429701,1.79812664407718
"cond.38","cond","variable","(Intercept)","ASV0072",-0.402155430546746,1.80044666360536
"cond.39","cond","variable","(Intercept)","ASV0073",0.268712618469507,1.77589358319998
"cond.40","cond","variable","(Intercept)","ASV0079",-0.464439190515051,1.74130085612691
"cond.41","cond","variable","(Intercept)","ASV0080",0.756503695539485,1.76239157824905
"cond.42","cond","variable","(Intercept)","ASV0082",0.789484013336009,1.75671303568115
"cond.43","cond","variable","(Intercept)","ASV0083",-0.991602613591227,1.77131637303129
"cond.44","cond","variable","(Intercept)","ASV0084",0.377355863216412,1.73845521211677
"cond.45","cond","variable","(Intercept)","ASV0085",1.53196413455473,1.73106192064892
"cond.46","cond","variable","(Intercept)","ASV0089",-0.464102145328058,1.80729583079398
"cond.47","cond","variable","(Intercept)","ASV0091",-0.664412679477381,1.83039980905865
"cond.48","cond","variable","(Intercept)","ASV0093",-0.591634798695052,1.81006112096246
