"","component","grpvar","term","grp","condval","condsd"
"cond.1","cond","variable","(Intercept)","ASV0001",0.147808238825976,0.902272032703834
"cond.2","cond","variable","(Intercept)","ASV0002",0.300560530816597,1.63496980289359
"cond.3","cond","variable","(Intercept)","ASV0003",0.0791709612805215,0.624798551110748
"cond.4","cond","variable","(Intercept)","ASV0004",0.176561336624972,1.0349565098873
"cond.5","cond","variable","(Intercept)","ASV0005",0.18819210763638,1.08939485899624
"cond.6","cond","variable","(Intercept)","ASV0007",0.180331270804454,1.05124195070096
"cond.7","cond","variable","(Intercept)","ASV0008",0.150691059775104,0.915370081815339
"cond.8","cond","variable","(Intercept)","ASV0009",0.191845032120697,1.10507524761515
"cond.9","cond","variable","(Intercept)","ASV0010",0.151020655698464,0.917822760353218
"cond.10","cond","variable","(Intercept)","ASV0011",0.144031149311891,0.886815857656373
"cond.11","cond","variable","(Intercept)","ASV0012",0.183475907395232,1.06603697896334
"cond.12","cond","variable","(Intercept)","ASV0015",0.106194659465367,0.727044719965543
"cond.13","cond","variable","(Intercept)","ASV0016",0.120623244766113,0.785265928167694
"cond.14","cond","variable","(Intercept)","ASV0017",-0.0156612229637805,0.476484458857644
"cond.15","cond","variable","(Intercept)","ASV0018",0.0106912095725241,0.472673511577545
"cond.16","cond","variable","(Intercept)","ASV0020",0.105821076020213,0.725227062848581
"cond.17","cond","variable","(Intercept)","ASV0021",-0.0280589831854204,0.49282438438339
"cond.18","cond","variable","(Intercept)","ASV0022",0.0967211012623924,0.689485251806339
"cond.19","cond","variable","(Intercept)","ASV0023",-0.00406387622247288,0.47045595179815
"cond.20","cond","variable","(Intercept)","ASV0024",0.109300114488521,0.739101250510042
"cond.21","cond","variable","(Intercept)","ASV0025",-0.0385719875602325,0.510685693008015
"cond.22","cond","variable","(Intercept)","ASV0027",-0.00490218583077584,0.469570377029141
"cond.23","cond","variable","(Intercept)","ASV0033",-0.0215621289027893,0.483821997455344
"cond.24","cond","variable","(Intercept)","ASV0036",0.114223602611308,0.76023705461832
"cond.25","cond","variable","(Intercept)","ASV0037",0.110543595344221,0.744719017699689
"cond.26","cond","variable","(Intercept)","ASV0039",0.0129288465687371,0.474089715053938
"cond.27","cond","variable","(Intercept)","ASV0040",-0.0566222601346118,0.555728862980478
"cond.28","cond","variable","(Intercept)","ASV0042",0.101843012508456,0.70967036542595
"cond.29","cond","variable","(Intercept)","ASV0044",-0.00499954659861698,0.470584155709831
"cond.30","cond","variable","(Intercept)","ASV0051",0.0913843004273837,0.668508850852012
"cond.31","cond","variable","(Intercept)","ASV0054",0.00332651658552984,0.469525541972219
"cond.32","cond","variable","(Intercept)","ASV0057",-0.0277800623672864,0.491418733486887
"cond.33","cond","variable","(Intercept)","ASV0059",0.0411409371922904,0.516087321650131
"cond.34","cond","variable","(Intercept)","ASV0063",0.0369504440136904,0.50715798602808
"cond.35","cond","variable","(Intercept)","ASV0065",-0.0443736807556645,0.523729052060348
"cond.36","cond","variable","(Intercept)","ASV0066",0.00967484087456452,0.472373053781024
"cond.37","cond","variable","(Intercept)","ASV0069",-0.0747436019123781,0.610197824793452
"cond.38","cond","variable","(Intercept)","ASV0072",-0.0494228278006107,0.535717599437668
