"","LB1","LB10","LB11","LB12","LB13","LB14","LB15","LB16","LB17","LB18","LB19","LB2","LB20","LB21","LB22","LB23","LB24","LB25","LB26","LB27","LB3","LB4","LB5","LB6","LB7","LB8","LB9","LH1","LL1","LL10","LL11","LL12","LL13","LL14","LL15","LL16","LL17","LL18","LL2","LL20","LL21","LL22","LL23","LL24","LL26","LL27","LL3","LL4","LL6","LL7","LL8","LL9","M1","M2","M3","N1","N2","N3","N4","N5","N6","P1-NTC2","P1-NTC3","P1-PCRpos1","P1-PCRpos2","P1-PCRpos3","P2-NTC1","P2-NTC2","P2-NTC3","P2-PCRpos1","P2-PCRpos2","P2-PCRpos3","WB1","WB10","WB11","WB12","WB13","WB14","WB15","WB16","WB17","WB18","WB19","WB2","WB20","WB21","WB22","WB23","WB24","WB25","WB26","WB27","WB28","WB29","WB3","WB30","WB31","WB32","WB33","WB34","WB35","WB36","WB37","WB38","WB39","WB4","WB40","WB41","WB42","WB43","WB44","WB45","WB46","WB47","WB48","WB49","WB5","WB50","WB51","WB52","WB53","WB54","WB55","WB56","WB57","WB58","WB59","WB6","WB60","WB61","WB62","WB63","WB64","WB65","WB66","WB67","WB68","WB69","WB7","WB70","WB8","WB9","WL1","WL10","WL11","WL12","WL13","WL14","WL15","WL16","WL17","WL18","WL19","WL2","WL20","WL21","WL22","WL23","WL24","WL25","WL26","WL27","WL28","WL29","WL3","WL30","WL31","WL32","WL33","WL34","WL4","WL5","WL6","WL7","WL8","WL9"
"ASV001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,31058,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6530,0,2,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,20,0,0,0,36505,26942,49845,1185,25798,58036,5,0,0,0,6,0,0,48248,32735,35224,29465,35031,0,96,13744,4690,19141,25327,26695,43445,0,0,0,0,0,2,0,0,0,0,0,49884,64509,58138,0,1344,37,59907,6,12,0,30,16,27,28830,4,50344,46338,10345,68833,0,50023,13090,57308,34683,51227,4,2789,0,0,21,0,0,0,0,0,0,0,21,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV002",0,0,69687,25991,5,7,6,0,0,57219,38695,3,30182,30724,34290,3,3626,14750,30643,15587,0,0,0,0,0,15201,6278,0,4,0,0,95,3,4,0,0,0,0,0,0,8,0,2,3,0,0,0,0,0,0,0,0,5,4,5738,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7622,33575,7229,94681,4605,154,0,0,0,9,16,0,4,4819,4929,1948,1776,147,0,241,0,4693,3,3071,290,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,4,402,16446,254,0,0,0,0,0,0,0,0,8059,1289,2069,4805,11,0,80,0,3824,5844,0,65,0,0,0,0,0,0,53355,14,14,30,0,0,0,0,0,0,0,0,8158,17892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV003",0,0,0,0,0,0,461,2198,0,0,0,1219,3760,0,0,0,0,3388,23,0,0,0,0,7755,0,0,0,4297,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5347,0,0,0,0,0,0,0,1034,288,1627,4,0,7517,6384,9792,0,0,0,0,0,0,0,0,0,0,0,15169,10939,11477,17911,600,1185,1266,1233,1226,16,11892,29073,685,22248,6159,3773,12,27,207,1097,643,168,9321,36,0,2065,651,635,191,0,16918,18919,7088,19041,28424,1947,1724,3164,4,2898,203,1641,223,4967,9514,0,1403,127,18434,4043,14308,20811,496,26902,582,21460,0,300,168,4279,5,235,509,25,337,0,5698,77,15286,1948,4938,15239,7606,0,3739,2976,4822,27,0,782,3253,9398,1096,0,1106,6032,6,3360,124,19511,225,854,0,254,7404,902,241,0,5070,8551,6743,0,10991,6235
"ASV004",0,0,2467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2333,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,57546,0,0,0,0,0,0,0,0,0,0,43371,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2496,0,0,0,0,0,0,0,0,0,0,0,0,306,0,4,0,0,0,0,8241,0,0,0,0,0,88542,0,0,10,20,0,4,0,0,4,3,4,0,5,0,95011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8279,0,0,0,0,0,0,11568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,5538,9693,0,0,0,46155,28046,37260,0,0,0,0,1053,0,0,0,0,0,0,0,12893,0,0,0,0,0,0,0,0,48,0,0,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,283,0,29,0,0,0,0,0,0,0,0
"ASV006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3262,0,0,0,0,0,0,0,0,0,0,22,0,0,223,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5319,0,0,0,0,0,0,0,0,0,0,0,0,0,1431,0,0,0,0,0,0,0,17,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1259,0,6,0,0,13128,0,0,0,0,0,8889,0,0,0,0,0,0,0,0,0,0,0,0,0,12619,8144,2992,0,0,0,9709,25532,0,0,4,0,0,0,1024,0,0,9565,0,0,24891,0,0,0,0,0,0,0,0,10840,0,6,0,0,0
"ASV007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3638,0,0,0,0,16848,0,0,0,0,0,0,0,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,0,0,0,0,0,0,0,0,0,0,24642,0,0,4,0,557,0,0,0,0,0,0,0,0,0,0,600,0,0,3,0,12210,0,0,28100,268,0,0,0,0,6181,0
"ASV008",0,0,2193,4355,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,7661,19835,0,0,11403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879,0,0,268,0,0,0,27259,0,0,0,0,0,0,769,0,0,0,0,40806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5654,0,0,0,0,0,0,0,0,0
"ASV009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,34607,28251,0,49,29572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5434,0,0,0,0,0,0,0,0,0,13055,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV010",0,0,0,9317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2221,0,0,0,0,0,0,1,0,0,0,0,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22483,1420,0,0,0,0,489,0,0,0,0,0,9526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0,0,588,0,0,274,0,0,2,0,37,0,0,0,9993,0,11158,2855,0,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,0,0,3916,0,9428,0,0,10453
