Feature ID	Taxon	Consensus
0010bf023c5c104fd9f73784c0432dd9	Unassigned	1.0
009a2449277d48f938e4d12609615957	d__Eukaryota; p__Arthropoda; c__Ostracoda; o__Podocopida; f__Podocopida; g__Podocopida	1.0
00a8e5ceca690354692bcc58d36a75b5	d__Eukaryota; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales; f__Sporidiobolaceae; g__Rhodotorula; s__uncultured_fungus	0.7
00acedb9719e86085461d9ce8e82856c	Unassigned	1.0
00b831b71522a363a471487c0ef64494	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Phaffomycetaceae; g__Komagataella	1.0
013bebf77bc53e22e7e72d661eb58119	d__Eukaryota; p__Basidiomycota; c__Malasseziomycetes; o__Malasseziales; f__Malasseziaceae; g__Malassezia; s__uncultured_fungus	1.0
015de410184e40b16a31e0df6f3384d8	d__Eukaryota; p__Ascomycota	1.0
0168a72210084a409bb9c3e740400b56	d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Echinamoebida; f__Echinamoebida; g__Vermamoeba	1.0
017638654e780bb01b9cf7f8f99be319	Unassigned	1.0
0185276c6fffbd403b9df9a2c3fbc682	Unassigned	1.0
02044be07d9d18a78378493fadbc83fa	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Cryptococcaceae; g__Cryptococcus; s__Cryptococcus_neoformans	0.6
02213328ac87b32e5b9eeb6039c43040	d__Eukaryota; p__Ochrophyta; c__Chrysophyceae	0.9
025b0bc5dd3beeacb63926c0b10e2a8d	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Phaffomycetaceae; g__Komagataella	1.0
027a84f4ddbc798c2f33e1b102530195	d__Eukaryota; p__Basidiomycota; c__Malasseziomycetes; o__Malasseziales; f__Malasseziaceae; g__Malassezia; s__uncultured_fungus	1.0
0335fe802e9b33cecc57726fa3719c4a	d__Eukaryota; p__Ascomycota; c__Dothideomycetes; o__Pleosporales	1.0
039ba1b5f8d13f689c57013d688f69db	Unassigned	1.0
03d2a9755b754d8176ab1246a5016237	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces	0.7
03d89bcaa0cc64c8ace6bcb5765b7dfa	d__Eukaryota; p__Basidiomycota; c__Malasseziomycetes; o__Malasseziales; f__Malasseziaceae; g__Malassezia; s__uncultured_fungus	1.0
04230c1d88bc192e340bfd59517d0f94	d__Eukaryota; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales; f__Sporidiobolaceae; g__Rhodotorula	0.6
043cf5bb5ea78037972998f7b8ee284f	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta; g__Magnoliophyta	1.0
0492e8c61528795e8674606b881d0ada	d__Eukaryota; p__Ochrophyta; c__Chrysophyceae; o__Ochromonadales; f__Ochromonadales	0.6
04b3c94cd5fb4c626be14850ae02c148	d__Eukaryota; p__Ascomycota; c__Leotiomycetes; o__Helotiales	0.9
04bb03ba7c8964a82ed225b044fd9d93	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces	0.7
04c06a989de7d505c9c11c55bf27bfd3	Unassigned	1.0
04ed727e856e84d868a01a4259d83bde	d__Eukaryota; p__Ascomycota; c__Dothideomycetes	0.6
054f58f8a58a37e04333edc2f681a0f4	d__Eukaryota	1.0
0560292519d0e2a28a3db1aa3dc89b96	Unassigned	1.0
05a471a9f5fe018353878a34eb5d5bf0	Unassigned	1.0
05ab188f1b201739176a93a6f19d2705	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Phaffomycetaceae; g__Komagataella	1.0
05d13d654d7e29155d01c41e6087a734	d__Eukaryota; p__Ochrophyta; c__Chrysophyceae; o__Ochromonadales; f__Ochromonadales	0.6
0623c0024a3cfd5af5eefe43dac47a2d	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Phaffomycetaceae; g__Komagataella	1.0
06f56fe182689a81ec329e88c4726f6c	d__Eukaryota; p__Ochrophyta; c__Chrysophyceae; o__Ochromonadales; f__Ochromonadales	0.6
070c5995eea8a640e522de601b6fef00	d__Eukaryota; p__SAR; c__Labyrinthulomycetes; o__Labyrinthulomycetes; f__Labyrinthulomycetes; g__Sorodiplophrys	1.0
088ffb2aa8499cc6c547726c1b21f6db	d__Eukaryota; p__Ochrophyta; c__Chrysophyceae	0.9
08b6880fd6f7f8ae04209863149fe936	d__Eukaryota; p__Vertebrata; c__Mammalia; o__Mammalia; f__Mammalia; g__Mammalia; s__Homo_sapiens	0.9
090582a0bd46bb6dc4282f83a229a9d1	Unassigned	1.0
0935c04315e8605178f6653f8b00c193	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Filobasidiaceae; g__Filobasidium	0.6
097318931ad3725d88223f070d21e98c	Unassigned	1.0
09bf9e88242ca40af10621288511afc5	Unassigned	1.0
09c49764a2d636c89d1cfc9951584b33	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Rhynchogastremataceae; g__Papiliotrema	0.7
09dbde578f0293b1ef281e7bc2919d11	d__Eukaryota; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales; f__Sporidiobolaceae; g__Rhodotorula; s__uncultured_fungus	0.7
09e30f2a51246c36cc853de6dc1b4779	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Phaffomycetaceae; g__Komagataella	1.0
0a2e071d07880792f07d3a853e1b8e9d	d__Eukaryota; p__Ochrophyta; c__Chrysophyceae; o__Ochromonadales; f__Ochromonadales	0.6
0b0b68279ea5257e1549c4ff934d0b49	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Phaffomycetaceae; g__Komagataella	1.0
0b1fe48649e1fc2ccaa4f9421603554d	d__Eukaryota; p__Ochrophyta; c__Chrysophyceae	0.9
0bcfbc0fcdc98a68ae9ff0238a5dc3dd	Unassigned	1.0
0c474d0f1dbefc760ef4d1dbfd458e72	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_Sedis; g__Sarocladium	1.0
