,LB10,LB11,LB12,LB18,LB19,LB20,LB21,LB22,LB3,LB4,LB5,LB7,LB9,LL11,LL12,LL18,LL19,LL21,LL22,LL3,LL5,LL6,LL7,LL8,LL9,WB11,WB14,WB15,WB16,WB17,WB25,WB27,WB29,WB7,WB8,WB9,WL11,WL12,WL14,WL15,WL23,WL24,WL26,WL27,WL5,WL7,WL8,WL9
K00001,9821,6854,6512,7225,17908,12304,3446,4556,10008,6742,7483,15576,2298,826,282,2898,5148,662,792,964,736,496,210,1751,1722,10123,10690,14956,11942,12408,19762,14178,23124,9968,14796,6478,15772,17069,13121,15140,20714,16801,23068,16114,9719,10173,11562,13430
K00002,28,114,104,96,113,88,31,17,7,0,22,0,14,0,0,35,108,24,10,0,0,0,0,21,11,34,90,142,488,121,56,43,153,7,24,0,1619,788,778,1728,1458,1526,1380,1157,0,0,0,0
K00003,6977,6059,5382,2779,12361,8922,2295,1555,3697,1965,2769,4935,2174,168,101,2362,3309,262,378,529,0,39,93,459,614,10704,6408,8073,5883,7113,11089,8199,10588,9843,8956,5923,9455,11776,8657,8150,13239,9041,10997,8523,13040,13311,12572,10799
K00004,983,646,671,506,1531,1019,276,300,345,957,143,1392,224,201,26,61,100,148,0,8,0,51,0,43,211,458,1994,2778,2587,2615,5482,4617,3328,1377,1519,894,2440,1612,1806,2114,2741,2487,3212,2808,1535,1688,1364,1807
K00005,44,91,20,380,322,432,70,420,374,442,489,1014,70,84,8,114,218,46,138,147,251,109,52,114,88,1590,480,480,768,309,656,339,608,1506,4060,649,1075,819,985,800,1198,1311,3041,1256,704,917,621,1699
K00006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00007,132,102,135,404,226,323,52,399,448,456,412,1087,144,8,22,248,448,52,143,325,229,103,115,302,11,3013,537,369,427,166,308,269,530,2198,5151,1311,1280,2331,1921,1295,3018,2604,3413,2208,6382,5883,6524,7507
K00008,2031,1756,2146,2452,3035,2657,967,1545,1394,2047,1231,5030,874,344,160,240,734,144,275,316,442,217,81,587,430,5700,1205,1550,942,1286,1701,981,2557,4651,5132,2237,1516,1702,1347,1280,1852,1546,2782,1283,3649,3450,3508,4445
K00009,1774,1803,1695,934,3034,2868,554,880,867,1242,1089,2401,728,63,31,119,299,18,149,168,252,155,42,336,103,1989,299,324,721,270,449,552,398,1414,2875,732,1583,753,572,403,730,1201,2087,693,994,982,732,2042
K00010,11102,6154,7014,7460,17205,12459,4329,4337,3880,3702,7522,7920,3037,707,137,613,1680,395,230,715,251,171,214,940,855,6573,8552,8475,9658,6228,10801,6118,15172,4947,15009,3694,8455,14456,9223,8581,15254,9957,14374,9806,12678,13803,12305,13174
K00011,549,313,448,698,423,624,273,212,385,87,635,591,211,0,0,0,25,0,0,0,0,0,0,105,0,524,299,386,308,359,381,193,320,1308,1330,571,567,999,564,580,986,909,1217,712,10,153,313,34
K00012,4514,3884,3473,2725,8722,5387,1554,1855,3370,2203,2304,5857,1414,178,21,3054,3983,266,602,1020,302,162,187,704,805,14058,10086,14618,10398,12543,20505,16038,16136,13385,14433,7827,15570,15318,11994,16159,18029,14864,20065,14982,15334,16393,12556,15162
K00013,3348,2425,2511,2016,5693,4257,1088,1354,2778,1977,1949,4560,1113,163,66,2645,3561,286,540,767,301,127,134,546,742,12216,5808,7521,6216,6443,10173,6711,10618,11015,12318,6283,10799,10995,9395,9898,12624,9922,12072,9734,12611,13012,11202,11485
K00014,6099,4841,4932,3638,12659,8340,1991,2417,5401,3535,4141,7033,1734,303,66,2238,3419,519,531,772,393,208,122,780,675,15567,8276,11099,8214,8560,12944,9354,15582,15926,15030,9745,14110,15768,13009,11029,18700,13910,18629,13066,19562,20748,20211,18276
K00015,1877,759,828,1544,4144,1661,627,580,2581,1155,1438,3497,331,163,25,2013,2677,89,253,235,19,80,18,258,517,5215,1949,1717,1659,1669,1701,671,2853,5023,4418,3406,4101,4744,3099,3773,3771,2488,3435,2178,3568,3808,3204,1855
K00016,1638,1626,1282,582,2622,2090,525,295,868,897,533,1937,490,10,0,52,269,0,15,16,0,6,3,96,8,476,390,365,445,342,333,123,566,456,270,255,1174,1017,877,697,1122,1075,1543,876,353,560,434,248
K00018,95,42,67,187,249,157,67,75,1137,624,264,958,0,9,0,1842,2235,35,294,436,3,32,47,173,351,1886,3046,5019,4051,4398,9911,9238,3780,1861,3225,1087,6192,3611,3630,6267,5383,6728,6687,6996,3691,3971,2870,3589
K00019,3859,3434,2956,2743,6836,5690,1092,1616,2751,1541,2025,4327,1424,218,67,2035,2571,314,478,687,178,95,130,409,572,8103,4055,5280,4028,4359,8442,6298,7791,8733,8300,5235,7374,8354,6277,6708,8675,7734,8947,7600,11324,12455,10031,9862
K00020,3643,3104,3581,3523,7851,5727,1787,1746,13222,7728,5531,13963,1274,537,62,2741,4528,375,601,762,0,53,51,681,1249,9533,10483,15005,11230,12431,21418,17788,20069,10796,11424,6769,12393,11138,8934,12640,13247,11829,14079,11715,11460,11914,11307,9818
K00021,0,5,0,328,203,325,45,405,369,451,392,970,5,0,0,66,224,16,125,132,245,74,54,0,0,1653,206,291,231,228,411,278,434,1050,1519,441,271,851,205,515,959,277,600,368,712,631,602,1698
