"","kegg.name","id","grpvar","EMO","MEM","MMO","KO","names","Pathway","Bamboo","Larval food","BvL","sBvL","food_indicator"
"1","K00038_3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]","K00038","variable:Microbe_treatment",0.424062422185437,0.0903210076974567,-0.397319375502775,"K00038","3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]","Metabolism; Lipid metabolism; Steroid hormone biosynthesis",1.04459780038587,-0.748596038537342,1.79319383892321,1.34430936170375,"Bamboo"
"2","K00039_ribitol 2-dehydrogenase [EC:1.1.1.56]","K00039","variable:Microbe_treatment",0.72153765263862,0.392607795702808,-1.25700770237924,"K00039","ribitol 2-dehydrogenase [EC:1.1.1.56]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions",1.45967627194188,-1.82090994969861,3.2805862216405,2.44854818611728,"Bamboo"
"3","K00045_mannitol 2-dehydrogenase [EC:1.1.1.67]","K00045","variable:Microbe_treatment",0.506883744488804,0.444283265507198,-1.07010053156358,"K00045","mannitol 2-dehydrogenase [EC:1.1.1.67]","Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism",0.708288257956426,-1.00901705223293,1.71730531018936,1.28796978330518,"Bamboo"
"4","K00046_gluconate 5-dehydrogenase [EC:1.1.1.69]","K00046","variable:Microbe_treatment",0.279369157454834,0.0464063111374282,-0.0705822537724632,"K00046","gluconate 5-dehydrogenase [EC:1.1.1.69]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers",1.45136239856931,-0.806094800428796,2.2574571989981,1.68897808053288,"Bamboo"
"5","K00073_ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]","K00073","variable:Microbe_treatment",0.427751431172114,0.0682393945669319,-0.60568315721371,"K00073","ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]","Metabolism; Nucleotide metabolism; Purine metabolism",1.13614694140281,-1.41350896811293,2.54965590951574,1.90590615166344,"Bamboo"
"6","K00078_dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]","K00078","variable:Microbe_treatment",1.09562165209765,0.140649184252369,-1.14678778211001,"K00078","dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450",1.43165960832371,-1.20539765412361,2.63705726244732,1.97079284083486,"Bamboo"
"7","K00128_aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]","K00128","variable:Microbe_treatment",0.320029517388138,0.194781956682846,-0.199785960028059,"K00128","aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Lipid metabolism; Fatty acid degradation | Metabolism; Lipid metabolism; Glycerolipid metabolism | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation | Metabolism; Amino acid metabolism; Lysine degradation | Metabolism; Amino acid metabolism; Arginine and proline metabolism | Metabolism; Amino acid metabolism; Histidine metabolism | Metabolism; Amino acid metabolism; Tryptophan metabolism | Metabolism; Metabolism of other amino acids; beta-Alanine metabolism | Metabolism; Metabolism of terpenoids and polyketides; Insect hormone biosynthesis | Metabolism; Metabolism of terpenoids and polyketides; Limonene and pinene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Chloroalkane and chloroalkene degradation",1.29556938253715,-0.499013106763916,1.79458248930107,1.34534029454877,"Bamboo"
"8","K00131_glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]","K00131","variable:Microbe_treatment",0.905396644226837,0.240195949453194,-1.14276225504188,"K00131","glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pentose phosphate pathway",0.930759589992936,-0.923602950596177,1.85436254058911,1.38972095315958,"Bamboo"
"9","K00132_acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]","K00132","variable:Microbe_treatment",0.738447504230102,0.374208632492528,-1.26613128701205,"K00132","acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]","Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Butanoate metabolism",1.88245663166098,-2.27052549811356,4.15298212977454,3.0962141572588,"Bamboo"
"10","K00156_pyruvate dehydrogenase (quinone) [EC:1.2.5.1]","K00156","variable:Microbe_treatment",0.612061319026643,0.109519649743999,-0.6180805889079,"K00156","pyruvate dehydrogenase (quinone) [EC:1.2.5.1]","Metabolism; Carbohydrate metabolism; Pyruvate metabolism",1.40641740041749,-1.14471200371319,2.55112940413068,1.90700007279702,"Bamboo"
