"","Pathway","mean_BvL","n_genes"
"1","Organismal Systems; Endocrine system; Renin-angiotensin system",1.93115221887988,2
"2","Environmental Information Processing; Signal transduction; cAMP signaling pathway",1.87178781139457,2
"3","Human Diseases; Infectious diseases: Parasitic; African trypanosomiasis",1.6821599544622,3
"4","Brite Hierarchies; Protein families: signaling and cellular processes; Ion channels",1.67454422875984,4
"5","Metabolism; Xenobiotics biodegradation and metabolism; Furfural degradation",1.63304054157509,6
"6","Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of type II polyketide products",1.62145337050977,7
"7","Human Diseases; Infectious diseases: Bacterial; Staphylococcus aureus infection",1.59113929737653,3
"8","Brite Hierarchies; Protein families: genetic information processing; Spliceosome",1.47140494108447,2
"9","Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of enediyne antibiotics",1.4709223948395,7
"10","Metabolism; Xenobiotics biodegradation and metabolism; Bisphenol degradation",1.45057738768812,2
"11","Cellular Processes; Transport and catabolism; Autophagy - yeast",1.3853931318422,4
"12","Genetic Information Processing; Folding, sorting and degradation; Ubiquitin mediated proteolysis",1.33922746086588,4
"13","Metabolism; Biosynthesis of other secondary metabolites; Penicillin and cephalosporin biosynthesis",1.31661093467874,6
"14","Brite Hierarchies; Protein families: genetic information processing; Proteasome",1.21989819017475,4
"15","Metabolism; Xenobiotics biodegradation and metabolism; Atrazine degradation",1.21751741604588,9
"16","Metabolism; Xenobiotics biodegradation and metabolism; Toluene degradation",1.16850810936445,24
"17","Metabolism; Metabolism of terpenoids and polyketides; Limonene and pinene degradation",1.15202010083857,7
"18","Metabolism; Xenobiotics biodegradation and metabolism; Chlorocyclohexane and chlorobenzene degradation",1.1416906435548,19
"19","Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of ansamycins",1.12301577558156,9
"20","Metabolism; Metabolism of terpenoids and polyketides; Monoterpenoid biosynthesis",1.09713199106713,2
"21","Human Diseases; Endocrine and metabolic diseases; Type I diabetes mellitus",1.07700201247204,2
"22","Metabolism; Biosynthesis of other secondary metabolites; Phenazine biosynthesis",1.04202713616116,6
"23","Metabolism; Lipid metabolism; alpha-Linolenic acid metabolism",1.02950636225128,3
"24","Environmental Information Processing; Signal transduction; MAPK signaling pathway - plant",1.01781902980279,4
"25","Organismal Systems; Nervous system; GABAergic synapse",0.986797953050788,4
"26","Brite Hierarchies; Protein families: metabolism; Cytochrome P450",0.966786039507827,12
"27","Metabolism; Glycan biosynthesis and metabolism; N-Glycan biosynthesis",0.952991627885018,4
"28","Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - cytochrome P450",0.946835806389706,9
"29","Not Included in Pathway or Brite; Unclassified: metabolism; Lipid metabolism",0.9397112117178,5
"30","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions",0.929204564367113,53
"31","Metabolism; Metabolism of other amino acids; beta-Alanine metabolism",0.924623153597653,26
"32","Human Diseases; Immune diseases; Primary immunodeficiency",0.902323942953321,2
"33","Not Included in Pathway or Brite; Unclassified: metabolism; Amino acid metabolism",0.874285221286627,15
"34","Metabolism; Biosynthesis of other secondary metabolites; Biosynthesis of secondary metabolites - unclassified",0.873889182333803,7
