"","Pathway","mean_BvL","n_genes"
"1","Organismal Systems; Endocrine system; Renin-angiotensin system",1.93115221887988,2
"2","Environmental Information Processing; Signal transduction; cAMP signaling pathway",1.87178781139457,2
"3","Human Diseases; Infectious diseases: Parasitic; African trypanosomiasis",1.6821599544622,3
"4","Brite Hierarchies; Protein families: signaling and cellular processes; Ion channels",1.67454422875984,4
"5","Metabolism; Xenobiotics biodegradation and metabolism; Furfural degradation",1.63304054157509,6
"6","Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of type II polyketide products",1.62145337050977,7
"7","Human Diseases; Infectious diseases: Bacterial; Staphylococcus aureus infection",1.59113929737653,3
"8","Brite Hierarchies; Protein families: genetic information processing; Spliceosome",1.47140494108447,2
"9","Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of enediyne antibiotics",1.4709223948395,7
"10","Metabolism; Xenobiotics biodegradation and metabolism; Bisphenol degradation",1.45057738768812,2
"11","Cellular Processes; Transport and catabolism; Autophagy - yeast",1.3853931318422,4
"12","Genetic Information Processing; Folding, sorting and degradation; Ubiquitin mediated proteolysis",1.33922746086588,4
"13","Metabolism; Biosynthesis of other secondary metabolites; Penicillin and cephalosporin biosynthesis",1.31661093467874,6
"14","Brite Hierarchies; Protein families: genetic information processing; Proteasome",1.21989819017475,4
"15","Metabolism; Xenobiotics biodegradation and metabolism; Atrazine degradation",1.21751741604588,9
"16","Metabolism; Xenobiotics biodegradation and metabolism; Toluene degradation",1.16850810936445,24
