Mesocosm_id,Microbe_treatment,Food_type,Mesocosm_type,Num_larvae_d00,Num_larvae_d08,Num_larvae_d34,Num_larvae_d40,Total_pupae,Proportion_pupated,Biomass_day30,Biomass_day40
B_AHK.1,AHK,Bamboo,Experiment,20,14,11,4,0,0,0,0
B_AHK+,AHK,Bamboo,Additional control,0,NA,NA,NA,NA,NA,NA,NA
B_ALL.1,ALL,Bamboo,Experiment,20,11,0,0,12,0.6,4.096,4.096
B_ALL.2,ALL,Bamboo,Experiment,20,18,4,4,0,0,0,0
B_ALL.3,ALL,Bamboo,Experiment,20,10,0,0,9,0.45,3.642,3.642
B_ALL.4,ALL,Bamboo,Experiment,20,16,2,2,2,0.1,0.13,0.299
B_ALL.5,ALL,Bamboo,Experiment,20,13,0,0,13,0.65,3.369,3.369
B_ALL+,ALL,Bamboo,Additional control,0,NA,NA,NA,NA,NA,NA,NA
B_ECO.1,ECO,Bamboo,Experiment,20,14,7,7,0,0,0,0
B_ECO.2,ECO,Bamboo,Experiment,20,15,9,7,0,0,0,0
B_ECO.3,ECO,Bamboo,Experiment,20,18,5,4,0,0,0,0
B_ECO.4,ECO,Bamboo,Experiment,20,17,7,6,0,0,0,0
B_ECO.5,ECO,Bamboo,Experiment,20,18,6,4,0,0,0,0
B_ECO+,ECO,Bamboo,Additional control,0,NA,NA,NA,NA,NA,NA,NA
B_EMO.1,EMO,Bamboo,Experiment,20,20,12,1,15,0.75,0.401,3.949
B_EMO.2,EMO,Bamboo,Experiment,20,18,5,5,0,0,0,0
B_EMO.3,EMO,Bamboo,Experiment,20,15,12,8,4,0.2,0.621,0.621
B_EMO.4,EMO,Bamboo,Experiment,20,16,11,9,3,0.15,0.308,0.308
B_EMO.5,EMO,Bamboo,Experiment,20,15,0,0,18,0.9,3.16,4.085
B_EMO+,EMO,Bamboo,Additional control,0,NA,NA,NA,NA,NA,NA,NA
B_food,None_food,Bamboo,Additional control,0,NA,NA,NA,NA,NA,NA,NA
B_larvae,None_larvae,Bamboo,Additional control,20,12,11,2,1,0.05,0.197,0.197
B_MEM.1,MEM,Bamboo,Experiment,20,16,2,1,1,0.05,0,0.227
B_MEM.2,MEM,Bamboo,Experiment,20,12,1,1,14,0.7,4.007,4.007
B_MEM.3,MEM,Bamboo,Experiment,20,15,0,0,17,0.85,4.53,5.122
B_MEM.4,MEM,Bamboo,Experiment,20,14,10,3,2,0.1,0.315,0.315
B_MEM.5,MEM,Bamboo,Experiment,20,17,0,0,0,0,0,0
B_MEM+,MEM,Bamboo,Additional control,0,NA,NA,NA,NA,NA,NA,NA
B_MMO.1,MMO,Bamboo,Experiment,20,16,8,5,4,0.2,0.288,0.538
B_MMO.2,MMO,Bamboo,Experiment,20,17,4,4,0,0,0,0
B_MMO.3,MMO,Bamboo,Experiment,20,10,0,0,11,0.55,3.737,3.737
B_MMO.4,MMO,Bamboo,Experiment,20,10,2,2,10,0.5,1.06,2.612
B_MMO.5,MMO,Bamboo,Experiment,20,14,6,5,3,0.15,0.304,0.468
B_MMO+,MMO,Bamboo,Additional control,0,NA,NA,NA,NA,NA,NA,NA
L_AHK.1,AHK,Larval food,Experiment,20,7,0,0,19,0.95,15.548,15.548
L_AHK+,AHK,Larval food,Additional control,0,NA,NA,NA,NA,NA,NA,NA
L_ALL.1,ALL,Larval food,Experiment,20,7,0,0,6,0.3,4.235,4.235
L_ALL.2,ALL,Larval food,Experiment,20,2,0,0,7,0.35,5.262,5.262
L_ALL.3,ALL,Larval food,Experiment,20,6,0,0,7,0.35,5.604,5.604
L_ALL.4,ALL,Larval food,Experiment,20,1,0,0,1,0.05,0.571,0.571
L_ALL.5,ALL,Larval food,Experiment,20,2,0,0,0,0,0,0
L_ALL+,ALL,Larval food,Additional control,0,NA,NA,NA,NA,NA,NA,NA
L_ECO.1,ECO,Larval food,Experiment,20,10,0,0,7,0.35,3.736,3.736
L_ECO.2,ECO,Larval food,Experiment,20,12,0,0,18,0.9,10.588,10.588
L_ECO.3,ECO,Larval food,Experiment,20,12,0,0,14,0.7,7.747,7.747
L_ECO.4,ECO,Larval food,Experiment,20,7,0,0,9,0.45,5.967,5.967
L_ECO.5,ECO,Larval food,Experiment,20,6,0,0,7,0.35,3.053,3.053
L_ECO+,ECO,Larval food,Additional control,0,NA,NA,NA,NA,NA,NA,NA
L_EMO.1,EMO,Larval food,Experiment,20,7,0,0,5,0.25,2.51,2.51
L_EMO.2,EMO,Larval food,Experiment,20,7,0,0,7,0.35,6.057,6.057
L_EMO.3,EMO,Larval food,Experiment,20,12,0,0,12,0.6,10.172,10.172
L_EMO.4,EMO,Larval food,Experiment,20,11,0,0,11,0.55,8.412,8.412
L_EMO.5,EMO,Larval food,Experiment,20,7,0,0,15,0.75,11.365,11.365
L_EMO+,EMO,Larval food,Additional control,0,NA,NA,NA,NA,NA,NA,NA
L_food,None_food,Larval food,Additional control,0,NA,NA,NA,NA,NA,NA,NA
L_larvae,None_larvae,Larval food,Additional control,20,4,0,0,9,0.45,7.414,7.414
L_MEM.1,MEM,Larval food,Experiment,20,6,0,0,6,0.3,4.731,4.731
L_MEM.2,MEM,Larval food,Experiment,20,0,0,0,0,0,0,0
L_MEM.3,MEM,Larval food,Experiment,20,7,0,0,8,0.4,6.392,6.392
L_MEM.4,MEM,Larval food,Experiment,20,1,0,0,1,0.05,1.039,1.039
L_MEM.5,MEM,Larval food,Experiment,20,8,0,0,7,0.35,4.84,4.84
L_MEM+,MEM,Larval food,Additional control,0,NA,NA,NA,NA,NA,NA,NA
L_MMO.1,MMO,Larval food,Experiment,20,5,0,0,18,0.9,13.798,13.798
L_MMO.2,MMO,Larval food,Experiment,20,1,0,0,18,0.9,12.621,12.621
L_MMO.3,MMO,Larval food,Experiment,20,5,0,0,17,0.85,13.026,13.026
L_MMO.4,MMO,Larval food,Experiment,20,6,0,0,22,1.1,18.46,18.46
L_MMO.5,MMO,Larval food,Experiment,20,5,0,0,10,0.5,7.375,7.375
L_MMO+,MMO,Larval food,Additional control,0,NA,NA,NA,NA,NA,NA,NA
