Short_label,Longer_name,Sample_type,Num_larvae,Date_collected,Exp_day,Mesocosm_id,Mesocosm_treatment,Microbe_treatment,Food_type,Mesocosm_type,Treatment_notes,Notes,Raw_reads
M1,M_D0_Microbe_stock_ecoli,Microbe Stock,,6/22/23,0,Microbe_stock_ecoli,Microbe_stock_ecoli,E. coli,Microbe stock,Microbe stock,E. coli stock,,63554
M2,M_D0_Microbe_stock_mosq,Microbe Stock,,6/22/23,0,Microbe_stock_mosq,Microbe_stock_mosq,Mosquito microbes,Microbe stock,Microbe stock,Mosquito microbes stock,,31740
M3,M_D0_Microbe_stock_brom,Microbe Stock,,6/22/23,0,Microbe_stock_brom,Microbe_stock_brom,Env. microbes,Microbe stock,Microbe stock,Environmental microbes stock,,62671
WB5,W_D5_B_AHK.1,Water,,6/27/23,5,B_AHK.1,B_AHK,AHK,Bamboo,Experiment,All heat-killed microbes,,91658
WB3,W_D5_B_AHK+,Water,,6/27/23,5,B_AHK+,B_AHK+,AHK,Bamboo,Additional control,No larvae - all heat-killed microbes,,9849
WB31,W_D5_B_ALL.1,Water,,6/27/23,5,B_ALL.1,B_ALL,ALL,Bamboo,Experiment,All live microbes,,210029
WB32,W_D5_B_ALL.2,Water,,6/27/23,5,B_ALL.2,B_ALL,ALL,Bamboo,Experiment,All live microbes,,266325
WB33,W_D5_B_ALL.3,Water,,6/27/23,5,B_ALL.3,B_ALL,ALL,Bamboo,Experiment,All live microbes,,332097
WB34,W_D5_B_ALL.4,Water,,6/27/23,5,B_ALL.4,B_ALL,ALL,Bamboo,Experiment,All live microbes,,238232
WB35,W_D5_B_ALL.5,Water,,6/27/23,5,B_ALL.5,B_ALL,ALL,Bamboo,Experiment,All live microbes,,162232
WB36,W_D5_B_ALL+,Water,,6/27/23,5,B_ALL+,B_ALL+,ALL,Bamboo,Additional control,No larvae - all live microbes,,86077
WB19,W_D5_B_ECO.1,Water,,6/27/23,5,B_ECO.1,B_ECO,ECO,Bamboo,Experiment,E. coli only,,147700
WB20,W_D5_B_ECO.2,Water,,6/27/23,5,B_ECO.2,B_ECO,ECO,Bamboo,Experiment,E. coli only,,135746
WB21,W_D5_B_ECO.3,Water,,6/27/23,5,B_ECO.3,B_ECO,ECO,Bamboo,Experiment,E. coli only,,124189
WB22,W_D5_B_ECO.4,Water,,6/27/23,5,B_ECO.4,B_ECO,ECO,Bamboo,Experiment,E. coli only,,122674
WB23,W_D5_B_ECO.5,Water,,6/27/23,5,B_ECO.5,B_ECO,ECO,Bamboo,Experiment,E. coli only,,100709
WB24,W_D5_B_ECO+,Water,,6/27/23,5,B_ECO+,B_ECO+,ECO,Bamboo,Additional control,No larvae - E. coli,,75079
