Larvae,Mesocosm_id,Microbe_treatment,Food_type,Pupated,Exp_startday,Exp_day,Date_pupated,Sample_id(P#),Dry_weight1,Dry_weight2,Dry_weight3,Dry_weightAVG
1,B_AHK.1,AHK,Bamboo,0,6/22/23,,,,,,,
2,B_AHK.1,AHK,Bamboo,0,6/22/23,,,,,,,
3,B_AHK.1,AHK,Bamboo,0,6/22/23,,,,,,,
4,B_AHK.1,AHK,Bamboo,0,6/22/23,,,,,,,
5,B_AHK.1,AHK,Bamboo,0,6/22/23,,,,,,,
6,B_AHK.1,AHK,Bamboo,0,6/22/23,,,,,,,
7,B_AHK.1,AHK,Bamboo,0,6/22/23,,,,,,,
8,B_AHK.1,AHK,Bamboo,0,6/22/23,,,,,,,
9,B_AHK.1,AHK,Bamboo,0,6/22/23,,,,,,,
10,B_AHK.1,AHK,Bamboo,0,6/22/23,,,,,,,
11,B_AHK.1,AHK,Bamboo,0,6/22/23,,,,,,,
12,B_AHK.1,AHK,Bamboo,0,6/22/23,,,,,,,
13,B_AHK.1,AHK,Bamboo,0,6/22/23,,,,,,,
14,B_AHK.1,AHK,Bamboo,0,6/22/23,,,,,,,
15,B_AHK.1,AHK,Bamboo,0,6/22/23,,,,,,,
16,B_AHK.1,AHK,Bamboo,0,6/22/23,,,,,,,
17,B_AHK.1,AHK,Bamboo,0,6/22/23,,,,,,,
18,B_AHK.1,AHK,Bamboo,0,6/22/23,,,,,,,
19,B_AHK.1,AHK,Bamboo,0,6/22/23,,,,,,,
20,B_AHK.1,AHK,Bamboo,0,6/22/23,,,,,,,
21,B_ECO.1,ECO,Bamboo,0,6/22/23,,,,,,,
22,B_ECO.1,ECO,Bamboo,0,6/22/23,,,,,,,
23,B_ECO.1,ECO,Bamboo,0,6/22/23,,,,,,,
24,B_ECO.1,ECO,Bamboo,0,6/22/23,,,,,,,
25,B_ECO.1,ECO,Bamboo,0,6/22/23,,,,,,,
26,B_ECO.1,ECO,Bamboo,0,6/22/23,,,,,,,
27,B_ECO.1,ECO,Bamboo,0,6/22/23,,,,,,,
28,B_ECO.1,ECO,Bamboo,0,6/22/23,,,,,,,
29,B_ECO.1,ECO,Bamboo,0,6/22/23,,,,,,,
30,B_ECO.1,ECO,Bamboo,0,6/22/23,,,,,,,
31,B_ECO.1,ECO,Bamboo,0,6/22/23,,,,,,,
32,B_ECO.1,ECO,Bamboo,0,6/22/23,,,,,,,
33,B_ECO.1,ECO,Bamboo,0,6/22/23,,,,,,,
34,B_ECO.1,ECO,Bamboo,0,6/22/23,,,,,,,
35,B_ECO.1,ECO,Bamboo,0,6/22/23,,,,,,,
36,B_ECO.1,ECO,Bamboo,0,6/22/23,,,,,,,
37,B_ECO.1,ECO,Bamboo,0,6/22/23,,,,,,,
38,B_ECO.1,ECO,Bamboo,0,6/22/23,,,,,,,
39,B_ECO.1,ECO,Bamboo,0,6/22/23,,,,,,,
40,B_ECO.1,ECO,Bamboo,0,6/22/23,,,,,,,
41,B_ECO.2,ECO,Bamboo,0,6/22/23,,,,,,,
42,B_ECO.2,ECO,Bamboo,0,6/22/23,,,,,,,
43,B_ECO.2,ECO,Bamboo,0,6/22/23,,,,,,,
44,B_ECO.2,ECO,Bamboo,0,6/22/23,,,,,,,
45,B_ECO.2,ECO,Bamboo,0,6/22/23,,,,,,,
46,B_ECO.2,ECO,Bamboo,0,6/22/23,,,,,,,
47,B_ECO.2,ECO,Bamboo,0,6/22/23,,,,,,,
48,B_ECO.2,ECO,Bamboo,0,6/22/23,,,,,,,
49,B_ECO.2,ECO,Bamboo,0,6/22/23,,,,,,,
50,B_ECO.2,ECO,Bamboo,0,6/22/23,,,,,,,
51,B_ECO.2,ECO,Bamboo,0,6/22/23,,,,,,,
52,B_ECO.2,ECO,Bamboo,0,6/22/23,,,,,,,
53,B_ECO.2,ECO,Bamboo,0,6/22/23,,,,,,,
54,B_ECO.2,ECO,Bamboo,0,6/22/23,,,,,,,
55,B_ECO.2,ECO,Bamboo,0,6/22/23,,,,,,,
56,B_ECO.2,ECO,Bamboo,0,6/22/23,,,,,,,
57,B_ECO.2,ECO,Bamboo,0,6/22/23,,,,,,,
58,B_ECO.2,ECO,Bamboo,0,6/22/23,,,,,,,
59,B_ECO.2,ECO,Bamboo,0,6/22/23,,,,,,,
60,B_ECO.2,ECO,Bamboo,0,6/22/23,,,,,,,
61,B_ECO.3,ECO,Bamboo,0,6/22/23,,,,,,,
62,B_ECO.3,ECO,Bamboo,0,6/22/23,,,,,,,
63,B_ECO.3,ECO,Bamboo,0,6/22/23,,,,,,,
64,B_ECO.3,ECO,Bamboo,0,6/22/23,,,,,,,
65,B_ECO.3,ECO,Bamboo,0,6/22/23,,,,,,,
66,B_ECO.3,ECO,Bamboo,0,6/22/23,,,,,,,
67,B_ECO.3,ECO,Bamboo,0,6/22/23,,,,,,,
68,B_ECO.3,ECO,Bamboo,0,6/22/23,,,,,,,
69,B_ECO.3,ECO,Bamboo,0,6/22/23,,,,,,,
70,B_ECO.3,ECO,Bamboo,0,6/22/23,,,,,,,
71,B_ECO.3,ECO,Bamboo,0,6/22/23,,,,,,,
72,B_ECO.3,ECO,Bamboo,0,6/22/23,,,,,,,
73,B_ECO.3,ECO,Bamboo,0,6/22/23,,,,,,,
74,B_ECO.3,ECO,Bamboo,0,6/22/23,,,,,,,
75,B_ECO.3,ECO,Bamboo,0,6/22/23,,,,,,,
76,B_ECO.3,ECO,Bamboo,0,6/22/23,,,,,,,
77,B_ECO.3,ECO,Bamboo,0,6/22/23,,,,,,,
78,B_ECO.3,ECO,Bamboo,0,6/22/23,,,,,,,
79,B_ECO.3,ECO,Bamboo,0,6/22/23,,,,,,,
80,B_ECO.3,ECO,Bamboo,0,6/22/23,,,,,,,
81,B_ECO.4,ECO,Bamboo,0,6/22/23,,,,,,,
82,B_ECO.4,ECO,Bamboo,0,6/22/23,,,,,,,
83,B_ECO.4,ECO,Bamboo,0,6/22/23,,,,,,,
84,B_ECO.4,ECO,Bamboo,0,6/22/23,,,,,,,
85,B_ECO.4,ECO,Bamboo,0,6/22/23,,,,,,,
86,B_ECO.4,ECO,Bamboo,0,6/22/23,,,,,,,
87,B_ECO.4,ECO,Bamboo,0,6/22/23,,,,,,,
88,B_ECO.4,ECO,Bamboo,0,6/22/23,,,,,,,
89,B_ECO.4,ECO,Bamboo,0,6/22/23,,,,,,,
90,B_ECO.4,ECO,Bamboo,0,6/22/23,,,,,,,
91,B_ECO.4,ECO,Bamboo,0,6/22/23,,,,,,,
92,B_ECO.4,ECO,Bamboo,0,6/22/23,,,,,,,
93,B_ECO.4,ECO,Bamboo,0,6/22/23,,,,,,,
94,B_ECO.4,ECO,Bamboo,0,6/22/23,,,,,,,
95,B_ECO.4,ECO,Bamboo,0,6/22/23,,,,,,,
96,B_ECO.4,ECO,Bamboo,0,6/22/23,,,,,,,
97,B_ECO.4,ECO,Bamboo,0,6/22/23,,,,,,,
98,B_ECO.4,ECO,Bamboo,0,6/22/23,,,,,,,
99,B_ECO.4,ECO,Bamboo,0,6/22/23,,,,,,,
100,B_ECO.4,ECO,Bamboo,0,6/22/23,,,,,,,
101,B_ECO.5,ECO,Bamboo,0,6/22/23,,,,,,,
102,B_ECO.5,ECO,Bamboo,0,6/22/23,,,,,,,
103,B_ECO.5,ECO,Bamboo,0,6/22/23,,,,,,,
104,B_ECO.5,ECO,Bamboo,0,6/22/23,,,,,,,
105,B_ECO.5,ECO,Bamboo,0,6/22/23,,,,,,,
106,B_ECO.5,ECO,Bamboo,0,6/22/23,,,,,,,
107,B_ECO.5,ECO,Bamboo,0,6/22/23,,,,,,,
108,B_ECO.5,ECO,Bamboo,0,6/22/23,,,,,,,
109,B_ECO.5,ECO,Bamboo,0,6/22/23,,,,,,,
110,B_ECO.5,ECO,Bamboo,0,6/22/23,,,,,,,
111,B_ECO.5,ECO,Bamboo,0,6/22/23,,,,,,,
112,B_ECO.5,ECO,Bamboo,0,6/22/23,,,,,,,
113,B_ECO.5,ECO,Bamboo,0,6/22/23,,,,,,,
114,B_ECO.5,ECO,Bamboo,0,6/22/23,,,,,,,
115,B_ECO.5,ECO,Bamboo,0,6/22/23,,,,,,,
116,B_ECO.5,ECO,Bamboo,0,6/22/23,,,,,,,
117,B_ECO.5,ECO,Bamboo,0,6/22/23,,,,,,,
118,B_ECO.5,ECO,Bamboo,0,6/22/23,,,,,,,
