"","kegg.name","id","grpvar","EMO","MEM","MMO","KO","names","Pathway","Bamboo","Larval food","BvL","sBvL","food_indicator"
"1","K00079_carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]","K00079","variable:Microbe_treatment",0.159125666169778,0.282148607839334,-0.522395248342004,"K00079","carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]","Metabolism; Lipid metabolism; Arachidonic acid metabolism | Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450 | Human Diseases; Cancers: Overview; Chemical carcinogenesis",0.689742215107948,-0.738995514670873,1.42873772977882,1.97240427593722,"Bamboo"
"2","K00117_quinoprotein glucose dehydrogenase [EC:1.1.5.2]","K00117","variable:Microbe_treatment",0.458259359337623,0.643322814134971,-0.880460760610496,"K00117","quinoprotein glucose dehydrogenase [EC:1.1.5.2]","Metabolism; Carbohydrate metabolism; Pentose phosphate pathway",0.706949656048384,-0.572693882162072,1.27964353821046,1.76617368553044,"Bamboo"
"3","K00200_formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]","K00200","variable:Microbe_treatment",-0.067560454804252,0.132738564769254,-0.358745354311984,"K00200","formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]","Metabolism; Energy metabolism; Methane metabolism",0.777290477988416,-0.955532363599269,1.73282284158768,2.39302195045942,"Bamboo"
"4","K00202_formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]","K00202","variable:Microbe_treatment",-0.0623037940106464,0.0372087885959963,-0.285061434410295,"K00202","formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]","Metabolism; Energy metabolism; Methane metabolism",0.678060340984176,-0.866374499778423,1.5444348407626,2.13243923944284,"Bamboo"
"5","K00232_acyl-CoA oxidase [EC:1.3.3.6]","K00232","variable:Microbe_treatment",0.482776599132618,0.0688822414250951,-0.675599436644765,"K00232","acyl-CoA oxidase [EC:1.3.3.6]","Metabolism; Lipid metabolism; Fatty acid degradation | Metabolism; Lipid metabolism; alpha-Linolenic acid metabolism | Metabolism; Lipid metabolism; Biosynthesis of unsaturated fatty acids | Environmental Information Processing; Signal transduction; cAMP signaling pathway | Cellular Processes; Transport and catabolism; Peroxisome | Organismal Systems; Endocrine system; PPAR signaling pathway",0.560901161622733,-0.636152764026229,1.19705392564896,1.65193379207213,"Bamboo"
"6","K00280_lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]","K00280","variable:Microbe_treatment",0.356535606193886,0.064436708461796,-0.774209913574813,"K00280","lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers",0.66332721334435,-0.877798469631983,1.54112568297633,2.12786193460734,"Bamboo"
"7","K00293_saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:1.5.1.10]","K00293","variable:Microbe_treatment",0.218020890648235,0.0725382037985597,-0.388677942729383,"K00293","saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:1.5.1.10]","Metabolism; Amino acid metabolism; Lysine biosynthesis | Metabolism; Amino acid metabolism; Lysine degradation",0.632882256776577,-0.692455962183515,1.32533821896009,1.82937964204905,"Bamboo"
"8","K00366_ferredoxin-nitrite reductase [EC:1.7.7.1]","K00366","variable:Microbe_treatment",-0.240742465894511,0.142480045748291,-0.115587002229026,"K00366","ferredoxin-nitrite reductase [EC:1.7.7.1]","Metabolism; Energy metabolism; Nitrogen metabolism",0.407261658425917,-0.537102180537788,0.944363838963705,1.30240692439972,"Bamboo"
"9","K00410_ubiquinol-cytochrome c reductase cytochrome b/c1 subunit","K00410","variable:Microbe_treatment",-0.825032442257706,0.164842120250764,0.254018259739512,"K00410","ubiquinol-cytochrome c reductase cytochrome b/c1 subunit","Metabolism; Energy metabolism; Oxidative phosphorylation | Environmental Information Processing; Signal transduction; Two-component system",0.573696661646176,-0.820307534129708,1.39400419577588,1.92436003525294,"Bamboo"
"10","K00476_aspartate beta-hydroxylase [EC:1.14.11.16]","K00476","variable:Microbe_treatment",0.265250663994618,0.564699000933267,-0.931715353772537,"K00476","aspartate beta-hydroxylase [EC:1.14.11.16]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers",0.829507532875666,-0.89129544899862,1.72080298187429,2.3763957979633,"Bamboo"
"11","K00483_4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]","K00483","variable:Microbe_treatment",0.33587037872053,0.492680246153427,-0.825361254022438,"K00483","4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]","Metabolism; Amino acid metabolism; Tyrosine metabolism",0.482637507563202,-0.480701053529471,0.963338561092673,1.32865320607104,"Bamboo"
"12","K00486_kynurenine 3-monooxygenase [EC:1.14.13.9]","K00486","variable:Microbe_treatment",0.203956427293248,0.116038763638859,-0.443783779658319,"K00486","kynurenine 3-monooxygenase [EC:1.14.13.9]","Metabolism; Amino acid metabolism; Tryptophan metabolism",0.692261480239387,-0.767420790062071,1.45968227030146,2.01520749177493,"Bamboo"
"13","K00594_alditol oxidase [EC:1.1.3.41]","K00594","variable:Microbe_treatment",0.0261858231403849,0.15749877269055,-0.370768557801641,"K00594","alditol oxidase [EC:1.1.3.41]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism",0.830559928757374,-0.94414957062421,1.77470949938158,2.45096056011372,"Bamboo"
