"","kegg_id","gene_name","gene_path"
"LB10_fxndf.K00001","K00001","alcohol dehydrogenase [EC:1.1.1.1]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Lipid metabolism; Fatty acid degradation | Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Chloroalkane and chloroalkene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Naphthalene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450 | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - cytochrome P450"
"LB10_fxndf.K00002","K00002","alcohol dehydrogenase (NADP+) [EC:1.1.1.2]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Lipid metabolism; Glycerolipid metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Caprolactam degradation | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"LB10_fxndf.K00003","K00003","homoserine dehydrogenase [EC:1.1.1.3]","Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism | Metabolism; Amino acid metabolism; Lysine biosynthesis"
"LB10_fxndf.K00004","K00004","(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]","Metabolism; Carbohydrate metabolism; Butanoate metabolism"
"LB10_fxndf.K00005","K00005","glycerol dehydrogenase [EC:1.1.1.6]","Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Lipid metabolism; Glycerolipid metabolism"
"LB10_fxndf.K00006","K00006","glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]","Metabolism; Lipid metabolism; Glycerophospholipid metabolism | Environmental Information Processing; Signal transduction; MAPK signaling pathway - yeast"
"LB10_fxndf.K00007","K00007","D-arabinitol 4-dehydrogenase [EC:1.1.1.11]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism"
"LB10_fxndf.K00008","K00008","L-iditol 2-dehydrogenase [EC:1.1.1.14]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism"
"LB10_fxndf.K00009","K00009","mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]","Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism"
"LB10_fxndf.K00010","K00010","myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]","Metabolism; Carbohydrate metabolism; Inositol phosphate metabolism | Metabolism; Biosynthesis of other secondary metabolites; Streptomycin biosynthesis"
